#tail	head	weight	pathway_name	pathway_ID	edge_type	tail_symbol	head_symbol	0	1	cv_part
Q01844	Q9Y3F4	1	TGF_beta_Receptor	7	physical	EWSR1	STRAP	Q01844	Q9Y3F4	0
P49354	P36897	1	TGF_beta_Receptor	7	physical	FNTA	TGFBR1	P49354	P36897	0
P01100	P05412	1	TGF_beta_Receptor	7	physical	FOS	JUN	P01100	P05412	0
P01100	P84022	1	TGF_beta_Receptor	7	physical	FOS	SMAD3	P01100	P84022	0
O75593	P84022	1	TGF_beta_Receptor	7	physical	FOXH1	SMAD3	O75593	P84022	0
O75593	Q13485	1	TGF_beta_Receptor	7	physical	FOXH1	SMAD4	O75593	Q13485	0
Q12778	P84022	1	TGF_beta_Receptor	7	physical	FOXO1	SMAD3	Q12778	P84022	0
O43524	P84022	1	TGF_beta_Receptor	7	physical	FOXO3	SMAD3	O43524	P84022	0
P98177	Q13485	1	TGF_beta_Receptor	7	physical	FOXO4	SMAD4	P98177	Q13485	0
Q9UM11	Q9H1A4	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC1	Q9UM11	Q9H1A4	0
Q9UM11	Q9UM13	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC10	Q9UM11	Q9UM13	0
Q9UM11	Q9UJX5	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC4	Q9UM11	Q9UJX5	0
Q9UM11	Q9UJX4	1	TGF_beta_Receptor	7	physical	FZR1	ANAPC5	Q9UM11	Q9UJX4	0
Q9UM11	P30260	1	TGF_beta_Receptor	7	physical	FZR1	CDC27	Q9UM11	P30260	0
Q9UM11	P12757	1	TGF_beta_Receptor	7	physical	FZR1	SKIL	Q9UM11	P12757	0
O14908	Q03167	1	TGF_beta_Receptor	7	physical	GIPC1	TGFBR3	O14908	Q03167	0
Q13547	Q15796	1	TGF_beta_Receptor	7	physical	HDAC1	SMAD2	Q13547	Q15796	0
Q13547	Q15583	1	TGF_beta_Receptor	7	physical	HDAC1	TGIF1	Q13547	Q15583	0
O14964	Q15796	1	TGF_beta_Receptor	7	physical	HGS	SMAD2	O14964	Q15796	0
P41235	Q13485	1	TGF_beta_Receptor	7	physical	HNF4A	SMAD4	P41235	Q13485	0
P11142	Q99966	1	TGF_beta_Receptor	7	physical	HSPA8	CITED1	P11142	Q99966	0
Q9H160	Q15796	1	TGF_beta_Receptor	7	physical	ING2	SMAD2	Q9H160	Q15796	0
Q8IU81	Q15583	1	TGF_beta_Receptor	7	physical	IRF2BP1	TGIF1	Q8IU81	Q15583	0
Q96J02	Q13118	1	TGF_beta_Receptor	7	Ubiquitination	ITCH	KLF10	Q96J02	Q13118	0
P05556	P37173	1	TGF_beta_Receptor	7	physical	ITGB1	TGFBR2	P05556	P37173	0
P05106	P37173	1	TGF_beta_Receptor	7	physical	ITGB3	TGFBR2	P05106	P37173	0
P05412	P01100	1	TGF_beta_Receptor	7	physical	JUN	FOS	P05412	P01100	0
P05412	P84022	1	TGF_beta_Receptor	7	physical	JUN	SMAD3	P05412	P84022	0
P17275	P84022	1	TGF_beta_Receptor	7	physical	JUNB	SMAD3	P17275	P84022	0
P17535	P84022	1	TGF_beta_Receptor	7	physical	JUND	SMAD3	P17535	P84022	0
P17535	Q13485	1	TGF_beta_Receptor	7	physical	JUND	SMAD4	P17535	Q13485	0
Q14974	P84022	1	TGF_beta_Receptor	7	physical	KPNB1	SMAD3	Q14974	P84022	0
Q9UJU2	Q15796	1	TGF_beta_Receptor	7	physical	LEF1	SMAD2	Q9UJU2	Q15796	0
Q9UJU2	Q13485	1	TGF_beta_Receptor	7	physical	LEF1	SMAD4	Q9UJU2	Q13485	0
P52564	O15105	1	TGF_beta_Receptor	7	physical	MAP2K6	SMAD7	P52564	O15105	0
O43318	P98082	1	TGF_beta_Receptor	7	physical	MAP3K7	DAB2	O43318	P98082	0
O43318	Q16539	1	TGF_beta_Receptor	7	Phosphorylation	MAP3K7	MAPK14	O43318	Q16539	0
O43318	P67775	1	TGF_beta_Receptor	7	physical	MAP3K7	PPP2CA	O43318	P67775	0
O43318	Q9Y4K3	1	TGF_beta_Receptor	7	physical	MAP3K7	TRAF6	O43318	Q9Y4K3	0
Q16539	P15336	1	TGF_beta_Receptor	7	Phosphorylation	MAPK14	ATF2	Q16539	P15336	0
Q16539	O75582	1	TGF_beta_Receptor	7	Phosphorylation	MAPK14	RPS6KA5	Q16539	O75582	0
Q16539	P84022	1	TGF_beta_Receptor	7	Phosphorylation	MAPK14	SMAD3	Q16539	P84022	0
P45983	P84022	1	TGF_beta_Receptor	7	Phosphorylation	MAPK8	SMAD3	P45983	P84022	0
Q96RN5	Q9GZV5	1	TGF_beta_Receptor	7	physical	MED15	WWTR1	Q96RN5	Q9GZV5	0
Q06413	Q15796	1	TGF_beta_Receptor	7	physical	MEF2C	SMAD2	Q06413	Q15796	0
P01106	P84022	1	TGF_beta_Receptor	7	physical	MYC	SMAD3	P01106	P84022	0
Q15788	Q09472	1	TGF_beta_Receptor	7	physical	NCOA1	EP300	Q15788	Q09472	0
Q96PU5	P12757	1	TGF_beta_Receptor	7	physical	NEDD4L	SKIL	Q96PU5	P12757	0
Q96PU5	Q15796	1	TGF_beta_Receptor	7	physical	NEDD4L	SMAD2	Q96PU5	Q15796	0
Q96PU5	Q15796	1	TGF_beta_Receptor	7	Ubiquitination	NEDD4L	SMAD2	Q96PU5	Q15796	0
Q96PU5	P84022	1	TGF_beta_Receptor	7	physical	NEDD4L	SMAD3	Q96PU5	P84022	0
P23511	P25208	1	TGF_beta_Receptor	7	physical	NFYA	NFYB	P23511	P25208	0
P23511	Q13952	1	TGF_beta_Receptor	7	physical	NFYA	NFYC	P23511	Q13952	0
P25208	P23511	1	TGF_beta_Receptor	7	physical	NFYB	NFYA	P25208	P23511	0
Q13952	P23511	1	TGF_beta_Receptor	7	physical	NFYC	NFYA	Q13952	P23511	0
Q13952	Q15796	1	TGF_beta_Receptor	7	physical	NFYC	SMAD2	Q13952	Q15796	0
P15531	Q9Y3F4	1	TGF_beta_Receptor	7	physical	NME1	STRAP	P15531	Q9Y3F4	0
P49790	P84022	1	TGF_beta_Receptor	7	physical	NUP153	SMAD3	P49790	P84022	0
P35658	P84022	1	TGF_beta_Receptor	7	physical	NUP214	SMAD3	P35658	P84022	0
Q8TAK6	P84022	1	TGF_beta_Receptor	7	physical	OLIG1	SMAD3	Q8TAK6	P84022	0
Q8TEW0	Q15796	1	TGF_beta_Receptor	7	physical	PARD3	SMAD2	Q8TEW0	Q15796	0
Q8TEW0	P84022	1	TGF_beta_Receptor	7	physical	PARD3	SMAD3	Q8TEW0	P84022	0
Q9NPB6	P36897	1	TGF_beta_Receptor	7	physical	PARD6A	TGFBR1	Q9NPB6	P36897	0
Q15118	P84022	1	TGF_beta_Receptor	7	Phosphorylation	PDK1	SMAD3	Q15118	P84022	0
O15530	Q15796	1	TGF_beta_Receptor	7	physical	PDPK1	SMAD2	O15530	Q15796	0
O15530	Q13485	1	TGF_beta_Receptor	7	physical	PDPK1	SMAD4	O15530	Q13485	0
O15530	O15105	1	TGF_beta_Receptor	7	physical	PDPK1	SMAD7	O15530	O15105	0
O75928	Q13485	1	TGF_beta_Receptor	7	Sumoylation	PIAS2	SMAD4	O75928	Q13485	0
O00459	P37173	1	TGF_beta_Receptor	7	physical	PIK3R2	TGFBR2	O00459	P37173	0
Q8NG27	P84022	1	TGF_beta_Receptor	7	Ubiquitination	PJA1	SMAD3	Q8NG27	P84022	0
P29590	Q15796	1	TGF_beta_Receptor	7	physical	PML	SMAD2	P29590	Q15796	0
P29590	Q15583	1	TGF_beta_Receptor	7	physical	PML	TGIF1	P29590	Q15583	0
P28340	P37173	1	TGF_beta_Receptor	7	physical	POLD1	TGFBR2	P28340	P37173	0
P35813	Q15796	1	TGF_beta_Receptor	7	physical	PPM1A	SMAD2	P35813	Q15796	0
P35813	Q15796	1	TGF_beta_Receptor	7	Dephosphorylation	PPM1A	SMAD2	P35813	Q15796	0
P36873	O15105	1	TGF_beta_Receptor	7	physical	PPP1CC	SMAD7	P36873	O15105	0
P36873	P36897	1	TGF_beta_Receptor	7	physical	PPP1CC	TGFBR1	P36873	P36897	0
P36873	P36897	1	TGF_beta_Receptor	7	Dephosphorylation	PPP1CC	TGFBR1	P36873	P36897	0
O75807	O15105	1	TGF_beta_Receptor	7	physical	PPP1R15A	SMAD7	O75807	O15105	0
O75807	P36897	1	TGF_beta_Receptor	7	physical	PPP1R15A	TGFBR1	O75807	P36897	0
O75807	P36897	1	TGF_beta_Receptor	7	Dephosphorylation	PPP1R15A	TGFBR1	O75807	P36897	0
P67775	O43318	1	TGF_beta_Receptor	7	physical	PPP2CA	MAP3K7	P67775	O43318	0
P67775	P23443	1	TGF_beta_Receptor	7	Dephosphorylation	PPP2CA	RPS6KB1	P67775	P23443	0
P30154	Q9UBS0	1	TGF_beta_Receptor	7	Dephosphorylation	PPP2R1B	RPS6KB2	P30154	Q9UBS0	0
P63151	P23443	1	TGF_beta_Receptor	7	Dephosphorylation	PPP2R2A	RPS6KB1	P63151	P23443	0
P63151	Q9UBS0	1	TGF_beta_Receptor	7	Dephosphorylation	PPP2R2A	RPS6KB2	P63151	Q9UBS0	0
P31321	P84022	1	TGF_beta_Receptor	7	physical	PRKAR1B	SMAD3	P31321	P84022	0
P13861	Q13485	1	TGF_beta_Receptor	7	physical	PRKAR2A	SMAD4	P13861	Q13485	0
Q05397	P49023	1	TGF_beta_Receptor	7	physical	PTK2	PXN	Q05397	P49023	0
P49023	Q05397	1	TGF_beta_Receptor	7	physical	PXN	PTK2	P49023	Q05397	0
P06400	P24941	1	TGF_beta_Receptor	7	physical	RB1	CDK2	P06400	P24941	0
P06400	Q16254	1	TGF_beta_Receptor	7	physical	RB1	E2F4	P06400	Q16254	0
P28749	P24864	1	TGF_beta_Receptor	7	physical	RBL1	CCNE1	P28749	P24864	0
P28749	P84022	1	TGF_beta_Receptor	7	physical	RBL1	SMAD3	P28749	P84022	0
P28749	Q14186	1	TGF_beta_Receptor	7	physical	RBL1	TFDP1	P28749	Q14186	0
Q08999	Q16254	1	TGF_beta_Receptor	7	physical	RBL2	E2F4	Q08999	Q16254	0
Q08999	Q14186	1	TGF_beta_Receptor	7	physical	RBL2	TFDP1	Q08999	Q14186	0
P61586	Q03135	1	TGF_beta_Receptor	7	physical	RHOA	CAV1	P61586	Q03135	0
-	Q15796	1	TGF_beta_Receptor	7	physical	RNF111	SMAD2	-	Q15796	0
-	Q13485	1	TGF_beta_Receptor	7	physical	RNF111	SMAD4	-	Q13485	0
Q13464	P30304	1	TGF_beta_Receptor	7	physical	ROCK1	CDC25A	Q13464	P30304	0
Q13464	P30304	1	TGF_beta_Receptor	7	Phosphorylation	ROCK1	CDC25A	Q13464	P30304	0
Q13950	Q8N6K7	1	TGF_beta_Receptor	7	physical	RUNX2	SAMD3	Q13950	Q8N6K7	0
Q13950	Q13485	1	TGF_beta_Receptor	7	physical	RUNX2	SMAD4	Q13950	Q13485	0
Q13761	P84022	1	TGF_beta_Receptor	7	physical	RUNX3	SMAD3	Q13761	P84022	0
Q8N6K7	Q13950	1	TGF_beta_Receptor	7	physical	SAMD3	RUNX2	Q8N6K7	Q13950	0
Q8N6K7	Q13485	1	TGF_beta_Receptor	7	physical	SAMD3	SMAD4	Q8N6K7	Q13485	0
P34741	P01137	1	TGF_beta_Receptor	7	physical	SDC2	TGFB1	P34741	P01137	0
P34741	Q03167	1	TGF_beta_Receptor	7	physical	SDC2	TGFBR3	P34741	Q03167	0
P29353	Q07889	1	TGF_beta_Receptor	7	physical	SHC1	SOS1	P29353	Q07889	0
P29353	P36897	1	TGF_beta_Receptor	7	physical	SHC1	TGFBR1	P29353	P36897	0
P29353	P37173	1	TGF_beta_Receptor	7	physical	SHC1	TGFBR2	P29353	P37173	0
P57059	O15105	1	TGF_beta_Receptor	7	physical	SIK1	SMAD7	P57059	O15105	0
P12755	P84022	1	TGF_beta_Receptor	7	physical	SKI	SMAD3	P12755	P84022	0
P12755	Q13485	1	TGF_beta_Receptor	7	physical	SKI	SMAD4	P12755	Q13485	0
P12757	Q13042	1	TGF_beta_Receptor	7	physical	SKIL	CDC16	P12757	Q13042	0
P12757	Q9UM11	1	TGF_beta_Receptor	7	physical	SKIL	FZR1	P12757	Q9UM11	0
P12757	Q96PU5	1	TGF_beta_Receptor	7	physical	SKIL	NEDD4L	P12757	Q96PU5	0
P12757	Q15796	1	TGF_beta_Receptor	7	physical	SKIL	SMAD2	P12757	Q15796	0
P12757	P84022	1	TGF_beta_Receptor	7	physical	SKIL	SMAD3	P12757	P84022	0
Q15796	O15169	1	TGF_beta_Receptor	7	physical	SMAD2	AXIN1	Q15796	O15169	0
Q15796	Q13042	1	TGF_beta_Receptor	7	physical	SMAD2	CDC16	Q15796	Q13042	0
Q15796	Q96RT1	1	TGF_beta_Receptor	7	physical	SMAD2	ERBB2IP	Q15796	Q96RT1	0
Q15796	Q13547	1	TGF_beta_Receptor	7	physical	SMAD2	HDAC1	Q15796	Q13547	0
Q15796	O14964	1	TGF_beta_Receptor	7	physical	SMAD2	HGS	Q15796	O14964	0
Q15796	Q9H160	1	TGF_beta_Receptor	7	physical	SMAD2	ING2	Q15796	Q9H160	0
Q15796	Q9UJU2	1	TGF_beta_Receptor	7	physical	SMAD2	LEF1	Q15796	Q9UJU2	0
Q15796	Q06413	1	TGF_beta_Receptor	7	physical	SMAD2	MEF2C	Q15796	Q06413	0
Q15796	Q96PU5	1	TGF_beta_Receptor	7	physical	SMAD2	NEDD4L	Q15796	Q96PU5	0
Q15796	Q13952	1	TGF_beta_Receptor	7	physical	SMAD2	NFYC	Q15796	Q13952	0
Q15796	Q8TEW0	1	TGF_beta_Receptor	7	physical	SMAD2	PARD3	Q15796	Q8TEW0	0
Q15796	O15530	1	TGF_beta_Receptor	7	physical	SMAD2	PDPK1	Q15796	O15530	0
Q15796	P29590	1	TGF_beta_Receptor	7	physical	SMAD2	PML	Q15796	P29590	0
Q15796	P35813	1	TGF_beta_Receptor	7	physical	SMAD2	PPM1A	Q15796	P35813	0
Q15796	-	1	TGF_beta_Receptor	7	physical	SMAD2	RNF111	Q15796	-	0
Q15796	P12757	1	TGF_beta_Receptor	7	physical	SMAD2	SKIL	Q15796	P12757	0
Q15796	P84022	1	TGF_beta_Receptor	7	physical	SMAD2	SMAD3	Q15796	P84022	0
Q15796	Q13485	1	TGF_beta_Receptor	7	physical	SMAD2	SMAD4	Q15796	Q13485	0
Q15796	Q9HAU4	1	TGF_beta_Receptor	7	physical	SMAD2	SMURF2	Q15796	Q9HAU4	0
Q15796	P48436	1	TGF_beta_Receptor	7	physical	SMAD2	SOX9	Q15796	P48436	0
Q15796	P08047	1	TGF_beta_Receptor	7	physical	SMAD2	SP1	Q15796	P08047	0
Q15796	Q9Y3F4	1	TGF_beta_Receptor	7	physical	SMAD2	STRAP	Q15796	Q9Y3F4	0
Q15796	O15350	1	TGF_beta_Receptor	7	physical	SMAD2	TP73	Q15796	O15350	0
Q15796	Q9H0M0	1	TGF_beta_Receptor	7	physical	SMAD2	WWP1	Q15796	Q9H0M0	0
Q15796	O95405	1	TGF_beta_Receptor	7	physical	SMAD2	ZFYVE9	Q15796	O95405	0
P84022	O15169	1	TGF_beta_Receptor	7	physical	SMAD3	AXIN1	P84022	O15169	0
P84022	P56945	1	TGF_beta_Receptor	7	physical	SMAD3	BCAR1	P84022	P56945	0
P84022	Q9Y297	1	TGF_beta_Receptor	7	physical	SMAD3	BTRC	P84022	Q9Y297	0
P84022	Q13042	1	TGF_beta_Receptor	7	physical	SMAD3	CDC16	P84022	Q13042	0
P84022	P49711	1	TGF_beta_Receptor	7	physical	SMAD3	CTCF	P84022	P49711	0
P84022	P35222	1	TGF_beta_Receptor	7	physical	SMAD3	CTNNB1	P84022	P35222	0
P84022	Q13616	1	TGF_beta_Receptor	7	physical	SMAD3	CUL1	P84022	Q13616	0
P84022	Q16254	1	TGF_beta_Receptor	7	physical	SMAD3	E2F4	P84022	Q16254	0
P84022	Q15329	1	TGF_beta_Receptor	7	physical	SMAD3	E2F5	P84022	Q15329	0
P84022	Q8N6I1	1	TGF_beta_Receptor	7	physical	SMAD3	EID2	P84022	Q8N6I1	0
P84022	P01100	1	TGF_beta_Receptor	7	physical	SMAD3	FOS	P84022	P01100	0
P84022	O75593	1	TGF_beta_Receptor	7	physical	SMAD3	FOXH1	P84022	O75593	0
P84022	Q12778	1	TGF_beta_Receptor	7	physical	SMAD3	FOXO1	P84022	Q12778	0
P84022	O43524	1	TGF_beta_Receptor	7	physical	SMAD3	FOXO3	P84022	O43524	0
P84022	P05412	1	TGF_beta_Receptor	7	physical	SMAD3	JUN	P84022	P05412	0
P84022	P17275	1	TGF_beta_Receptor	7	physical	SMAD3	JUNB	P84022	P17275	0
P84022	P17535	1	TGF_beta_Receptor	7	physical	SMAD3	JUND	P84022	P17535	0
P84022	Q14974	1	TGF_beta_Receptor	7	physical	SMAD3	KPNB1	P84022	Q14974	0
P84022	P01106	1	TGF_beta_Receptor	7	physical	SMAD3	MYC	P84022	P01106	0
P84022	Q96PU5	1	TGF_beta_Receptor	7	physical	SMAD3	NEDD4L	P84022	Q96PU5	0
P84022	P49790	1	TGF_beta_Receptor	7	physical	SMAD3	NUP153	P84022	P49790	0
P84022	P35658	1	TGF_beta_Receptor	7	physical	SMAD3	NUP214	P84022	P35658	0
P84022	Q8TAK6	1	TGF_beta_Receptor	7	physical	SMAD3	OLIG1	P84022	Q8TAK6	0
P84022	Q8TEW0	1	TGF_beta_Receptor	7	physical	SMAD3	PARD3	P84022	Q8TEW0	0
P84022	P31321	1	TGF_beta_Receptor	7	physical	SMAD3	PRKAR1B	P84022	P31321	0
P84022	P28749	1	TGF_beta_Receptor	7	physical	SMAD3	RBL1	P84022	P28749	0
P84022	Q13761	1	TGF_beta_Receptor	7	physical	SMAD3	RUNX3	P84022	Q13761	0
P84022	P12755	1	TGF_beta_Receptor	7	physical	SMAD3	SKI	P84022	P12755	0
P84022	P12757	1	TGF_beta_Receptor	7	physical	SMAD3	SKIL	P84022	P12757	0
P84022	Q15796	1	TGF_beta_Receptor	7	physical	SMAD3	SMAD2	P84022	Q15796	0
P84022	Q13485	1	TGF_beta_Receptor	7	physical	SMAD3	SMAD4	P84022	Q13485	0
P84022	Q01082	1	TGF_beta_Receptor	7	physical	SMAD3	SPTBN1	P84022	Q01082	0
P84022	Q14186	1	TGF_beta_Receptor	7	physical	SMAD3	TFDP1	P84022	Q14186	0
P84022	O15350	1	TGF_beta_Receptor	7	physical	SMAD3	TP73	P84022	O15350	0
P84022	Q9UPN9	1	TGF_beta_Receptor	7	physical	SMAD3	TRIM33	P84022	Q9UPN9	0
P84022	Q9GZV5	1	TGF_beta_Receptor	7	physical	SMAD3	WWTR1	P84022	Q9GZV5	0
P84022	P37275	1	TGF_beta_Receptor	7	physical	SMAD3	ZEB1	P84022	P37275	0
P84022	O60315	1	TGF_beta_Receptor	7	physical	SMAD3	ZEB2	P84022	O60315	0
Q13485	P15336	1	TGF_beta_Receptor	7	physical	SMAD4	ATF2	Q13485	P15336	0
Q13485	Q99966	1	TGF_beta_Receptor	7	physical	SMAD4	CITED1	Q13485	Q99966	0
Q13485	Q92905	1	TGF_beta_Receptor	7	physical	SMAD4	COPS5	Q13485	Q92905	0
Q13485	Q9NPI6	1	TGF_beta_Receptor	7	physical	SMAD4	DCP1A	Q13485	Q9NPI6	0
Q13485	O14640	1	TGF_beta_Receptor	7	physical	SMAD4	DVL1	Q13485	O14640	0
Q13485	Q09472	1	TGF_beta_Receptor	7	physical	SMAD4	EP300	Q13485	Q09472	0
Q13485	Q96RT1	1	TGF_beta_Receptor	7	physical	SMAD4	ERBB2IP	Q13485	Q96RT1	0
Q13485	P03372	1	TGF_beta_Receptor	7	physical	SMAD4	ESR1	Q13485	P03372	0
Q13485	O75593	1	TGF_beta_Receptor	7	physical	SMAD4	FOXH1	Q13485	O75593	0
Q13485	P98177	1	TGF_beta_Receptor	7	physical	SMAD4	FOXO4	Q13485	P98177	0
