#node1	node2
Q13976	Q9UHL9
P06493	Q96JB5
P05386	Q53EL6
O75400	Q6P2Q9
P27986	P63215
O15393	P10275
P01106	Q9NSP4
Q13501	Q9HAU4
P41594	P84996
O14775	Q14416
P23458	P40238
O00463	O43318
O75044	P61981
P62750	P62917
P13500	P51686
Q5VYV7	Q92889
P62805	Q9Y294
O94864	Q9Y6J9
Q8WUI4	Q99877
O43463	P29590
O75815	P35637
P16104	Q13619
5512	Q96SB3
P31995	Q8NHL6
P32856	P61764
P17931	P35222
P43405	P62993
Q07157	Q9Y2J2
Q13227	Q86Y13
Q8TDZ2	Q92569
P01308	Q15418
O15344	P61077
P11362	P61328
Q07955	Q15287
P10074	P41220
P46776	P62906
P00519	P46937
O43281	P12931
P11362	P52798
O14788	Q14703
O94941	P62256
Q00839	Q14103
P06213	P49763
P31785	P42224
Q92561	Q96FK6
P42574	Q13541
O95166	Q99569
P27348	Q92731
P22694	Q09472
Q49AN0	Q9Y478
P35354	P49716
P22694	Q70SY1
Q15700	Q6P1M3
P01566	P15260
P10600	Q04771
Q15047	Q99549
P27482	Q8IY92
P17275	P56279
Q01105	Q15573
P14859	P23511
P21554	P50151
O95967	P30281
P43364	Q9BXY8
Q13153	Q14155
Q9H6S1	Q9UHD2
P53708	Q07890
P68366	P68371
P25788	P28074
P05112	Q03060
Q15052	Q9HBI1
P49716	Q6X4U4
O75159	P42701
Q92994	Q9H1D9
P41220	P51946
O60504	Q13191
P62136	Q13616
O43676	P51970
O95229	Q9H081
Q8WW43	Q9Y219
P36543	Q9H1Y0
P30443	Q14952
P01889	P28072
P84996	Q92633
P25788	Q9H0D6
P18084	P50552
P51398	Q13158
P40424	P55072
P40933	Q01113
P26367	Q96F44
Q8NFM4	Q9NZT1
P49841	Q96HA7
O00214	Q86YL7
Q13177	Q9Y6X8
Q92934	Q9P1W9
P15018	Q8IU57
Q5HYJ3	Q9BQ66
O60260	Q9BT88
P10275	P63279
O60343	O94916
P04626	Q99704
P27695	Q00987
P61956	Q96JQ0
P22681	P38484
P33552	P51681
P01579	Q13651
P10451	P16070
P60953	Q13017
Q9Y2A7	Q9Y6W5
O60504	P00519
Q69YQ0	Q6WCQ1
P24385	P51948
P05107	Q9Y624
Q4VXU2	Q96EP5
Q96AQ9	Q9Y6D9
P08311	P21281
Q6VMQ6	Q9BY67
O96017	Q15717
Q15750	Q9BVA1
P62917	P84098
Q99879	Q9C005
P11215	P42338
P21860	Q9HAU4
Q99816	Q9BUJ2
O94817	P51991
P04637	Q9H0E9
406937	P07947
P18146	Q96A33
406912	P20749
P84095	Q96JJ3
P05412	P35222
P35659	P68431
P30154	Q9Y243
P56645	Q12968
Q99759	Q9Y265
P12931	Q9Y4D1
P30953	P35626
O14964	P25963
Q02535	Q92574
P03372	P28482
Q4LDE5	Q6VMQ6
P26232	Q9UDY2
Q15365	Q9BTD8
P20337	P62158
P17948	Q16665
P08670	Q06323
P04637	P11142
O95600	P08047
Q14493	Q8IV48
P08183	Q99623
P31943	Q00839
Q02962	Q99502
Q6Y7W6	Q7Z591
P61604	Q9UET6
O00574	Q99616
Q16584	Q92905
P18858	P24941
Q14653	Q9UHD2
P98175	Q92733
P46379	Q8TAA9
P04792	Q13418
P08581	Q9Y264
P15735	P17612
P35626	Q8NGL3
O95639	Q9P2I0
O00459	P63000
Q14164	Q96A26
P10451	Q92985
P08754	P28221
P01100	P53567
O14827	P17612
Q9H6S1	Q9Y6K9
P52735	Q8NC51
O60262	P21554
P28482	P59768
Q13315	Q8IU60
P62837	Q969V5
P18621	P46778
P20226	Q8IZX4
Q04759	Q9H0R8
P20823	P62158
P30279	P31314
P25054	Q9UNN8
P04049	Q05513
P47813	Q14152
P62805	P68133
P13639	P63104
Q15102	Q9H190
P08514	P35443
P25788	P62306
Q15287	Q9C0J8
P36954	Q6PD62
P35626	Q8NG83
Q86YC2	Q9BX63
P51812	P67870
P08134	Q07890
Q15014	Q9NV56
Q5T9A4	Q9BUV8
P15498	P19174
O43395	Q92997
O15514	P62875
P04278	Q04941
Q14457	Q14643
O14576	P68363
P62258	Q13671
P22612	Q13224
P10301	Q8WZA2
P11831	Q8N2W9
P08729	P46940
P13385	Q7L5N1
O14610	O75899
P62714	Q6P5X5
P01569	P19838
O14744	P54105
P26010	P55268
O15467	P49682
P53990	Q9Y6W3
P22090	P62249
Q13409	Q96AH8
P40337	P61081
Q8N1F8	Q8NHQ1
P10828	Q9Y2X0
P62280	P62841
P17081	Q5JSL3
P61326	P62633
P00813	Q01094
P02549	P48023
O95619	Q9NXR8
P01857	P02787
O00255	P51610
P62913	Q9Y6K9
P29353	Q02763
O75365	Q9H3U1
P10071	P51817
O43913	P33993
O95817	Q8TCX1
O43556	O95376
P60709	Q00005
P55072	Q9NP31
Q99459	Q9UPT5
O60496	P62993
Q06330	Q92905
P40189	Q06124
P18124	P46778
Q9H936	Q9UNM6
P54253	Q8IWR1
O15162	Q9GZM5
P62805	Q96EZ8
P32248	Q99616
P24390	Q9UHQ7
P17480	Q9H9Y6
Q99880	Q9UKV0
P01889	Q9NR30
P04350	Q96AH8
P42262	P49841
Q06413	Q09472
P17858	P41279
Q8N392	Q99547
P05783	Q06124
P01137	P31483
P30154	Q8IZS8
O95897	P14618
P61978	Q00987
O15530	P42336
P62328	Q9H5J8
Q15750	Q9H6R7
P08123	P31431
P18858	P49441
P27348	P30305
P35080	Q9C0J8
P22694	Q68CJ9
P78344	Q9Y2Q3
O60506	Q15428
P50281	Q9BV57
P05387	P40429
P54646	Q15717
P25398	P60709
Q16539	Q96DM3
Q16630	Q9H0M0
P19883	Q5EB52
Q05469	Q9UGI9
P42704	Q9Y5J5
P04406	Q16637
P05198	P49770
P48730	Q99743
O76071	Q86Y56
P16104	Q15257
P08754	P61952
Q03013	Q96ID5
P01567	Q6UXL0
P22626	P63104
P27361	P43405
P32121	Q96R08
P51828	Q9NZT1
P20042	Q05516
P10398	P53778
O60603	Q86XR7
Q8N9W6	Q9NQZ3
P05015	Q14626
Q9NR96	Q9NX58
A4D0S4	Q13797
P29317	P55075
O75578	Q13753
P34969	P63092
Q13191	Q16695
P23508	Q8IYT4
P02545	Q16512
P04637	P67775
P45983	P62714
O75496	Q01094
5512	O15169
O95257	Q8NAF0
Q07889	Q13972
O15239	Q86Y39
P38405	Q8WZ94
O15160	Q9Y2Q3
P57739	Q8NI35
Q96KM6	Q9NQ87
P63104	Q04637
P04792	Q13573
Q06546	Q14145
O75084	O75581
P48169	Q9H0R8
O43182	P62745
P62263	Q96BK5
P08311	Q9UIV8
P24530	P30679
P52565	P61960
Q8WWW0	Q9H492
P06400	P29590
Q14511	Q8IZD9
O14965	Q13522
P52294	Q01201
P24666	P43403
P18146	Q99996
Q92569	Q9UQC2
Q04721	Q96BI3
P19532	P21266
P02452	Q05397
Q13315	Q15382
O76001	P35626
P26640	P30480
P29322	Q6NUN9
P16949	Q99828
O94864	Q16594
P17948	Q9ULV8
O75340	Q9H3S7
P01562	P14784
Q13136	Q99459
P28566	P62873
P13569	Q9UBA6
406881	P01111
Q96HA7	Q9Y2Z0
Q13216	Q15843
P12429	Q8IWV7
O00255	Q00653
P27635	Q99558
P25963	P32121
Q8NFP9	Q9NWF9
P46782	P62857
O60884	P13569
Q9BVW5	Q9Y248
Q12996	Q9P2I0
P35968	P52798
Q01196	Q13951
P29466	Q12772
P16070	P18146
O14493	Q8NI35
P16144	P51636
Q13573	Q9NXV6
P26599	P67809
P35626	Q8NH74
P10415	P63151
Q12789	Q9H1I8
P14672	Q15642
P48775	Q9P2G9
Q8NCM8	Q9BQE3
O15198	Q8N988
P15260	P29460
Q7Z7H8	Q9UPT9
P02511	P42574
P61586	Q9NRY4
Q96RL1	Q99880
O15519	Q9UER7
P17252	P62714
Q92769	Q9UQ80
P21802	Q07890
P42345	Q15349
P15498	P43405
O00422	P61981
P00533	P31749
O00401	O75400
Q9UGN5	Q9Y6M0
P05113	Q99665
P05198	P41091
O75159	P48357
Q13573	Q9Y5Q9
P53355	Q16659
Q8NFD5	Q8TAQ2
P01106	P35222
P18621	P62899
P04275	Q99759
P00736	P09871
P62829	Q12933
P07550	Q8WXH0
P22455	Q07889
O15379	P29590
P17861	P60900
P08887	P29459
P48444	Q9NTJ5
Q13315	Q6UWZ7
P07384	Q6UXS9
P16989	Q13573
P62491	Q6WKZ4
P15531	Q13232
Q6ZVM7	Q9Y3C5
P12956	P62324
P14866	Q13243
P21860	P42684
O60674	Q8N6P7
Q15560	Q9H7U1
P21673	Q9NVL1
Q02535	Q02548
O76039	P06241
Q13315	Q9P258
P04406	Q15382
O15121	Q9ULC4
O43306	Q9UBI6
P21673	Q92993
P04156	P10415
P35637	Q16629
O95067	P24522
Q9HD36	Q9UMX3
O15467	P25025
P05129	Q4KWH8
Q6ZRQ5	Q96BK5
P62273	Q9Y6J8
P56556	Q86Y39
Q9UBQ5	Q9Y478
P63104	Q9Y6R4
P31749	Q13882
P42338	P59768
P38398	Q92925
P62987	Q9UNE7
O14745	P41145
P82650	Q9UKV8
P46531	P49810
P14902	P42224
Q13315	Q5VT52
P30260	Q13257
P07948	P22681
Q01844	Q9NYG2
Q86WJ1	Q9C0C9
P35268	P47914
Q96HR3	Q9NWA0
P00533	Q00987
P08514	P21333
P26951	P27986
O00574	P42830
P42224	P52294
P00441	Q969M1
P17301	Q9UKX5
Q13765	Q9UKY1
P46379	Q7Z434
O75925	Q92731
P61020	Q9H223
P12814	Q15788
P84022	Q13643
Q15788	Q9NRJ4
P29320	P52797
P36873	Q8WXS5
O95999	P62987
O95049	P60709
O14818	Q9GZN1
P10301	P27986
P06576	P16871
P04629	P23470
P62993	Q86SG6
P10721	Q15147
P31749	Q13522
O43295	P48023
P05129	P09471
P05556	Q12929
O00422	Q969V3
O75676	P18848
P42336	P62070
O00329	Q13480
O75015	P20963
Q07890	Q9Y5S8
Q9UJX2	Q9UM13
O43508	Q9NP84
Q01196	Q8WYB5
O60383	Q9Y6M9
Q16795	Q9Y6M9
P15529	P29350
P08887	P15018
P55036	Q9BRX2
P49841	Q96BR1
P15172	P41134
P01138	Q16288
Q01094	Q8NEM0
P05771	Q14289
Q96B36	Q9Y478
P62837	Q96PM5
P09488	P62993
P35225	Q99665
Q96B36	Q9UGJ0
Q8TEM1	Q9UKX7
Q96EK5	Q9BW19
P01106	Q7Z4H7
O95967	Q9BQY4
P08575	P19022
P46108	P51813
P63167	P68104
Q13596	Q92890
P35080	Q07889
O14879	Q05D60
P51685	Q07325
O95218	Q02040
Q8WYR1	Q9Y4H2
P62249	P62273
Q09472	Q71DI3
P49916	Q14191
Q93009	Q9ULU4
P61224	Q92565
Q08334	Q9GZX6
O75478	Q9H0E3
P14316	Q09472
P02461	P18084
P29692	Q14164
O00623	P40855
P01562	P08887
P35268	Q96BK5
Q92786	Q99684
P56178	Q96T58
P43246	Q16637
Q8TB72	Q9ULK4
Q15287	Q9UL63
O75438	P03901
P51805	Q92730
O14641	Q2TBC4
O60885	Q9UHY7
P16220	Q13315
Q13315	Q5SW79
P06730	Q9UKV8
P63261	Q8TDR0
P17612	Q12879
P18206	Q9UI47
Q13616	Q86XK2
P62136	Q5TID7
P01303	P08908
P04629	Q05209
P06400	Q92922
P42226	Q9BXN2
P49790	Q96HA1
P53671	Q13153
Q99717	Q9NXD2
P24723	Q9ULK5
P62888	P83881
P36897	Q8TAI7
P62993	Q9BQ89
P62714	Q06432
O15524	Q13651
O75955	P08575
P08172	P63218
P20936	P29322
Q15436	Q92597
O60936	P25445
P24941	Q5MJ70
P17302	Q03135
P04141	Q01344
P14625	Q14573
Q96L34	Q9Y4B5
P51532	Q96GM5
P23497	P29590
Q7L4P6	Q93009
P63104	Q99759
Q13748	Q14164
O15360	Q8N2Z9
P04150	Q05086
O00255	Q15797
A6NHL2	Q96RT8
P16104	P30041
P54105	P62308
Q9BYX4	Q9H6S1
O00487	Q9Y4K3
P36406	Q99816
Q96QV1	Q9Y4K3
P29322	P52797
O95359	Q09472
O75030	P51532
O43353	Q7Z434
406982	O43521
Q06190	Q8WXS5
P12270	Q8NFH5
P35244	Q96FI4
Q16659	Q9NQX6
Q8IXM3	Q9HAU4
P16144	P17301
P38936	Q13616
P10275	Q02548
P07288	Q16695
P58107	Q9H0H5
Q12913	Q9UM73
P42680	Q9ULZ2
O00755	P41221
P50995	Q9H553
Q05193	Q8WXK3
Q96D42	Q96H15
P20340	Q96CN9
O43561	Q13588
O14656	Q96NW7
Q13368	Q96RT1
P50150	P63092
P10275	Q5VTY9
O15198	Q8NAM6
P38405	Q6IFH4
Q01668	Q16558
P31946	Q9H8N7
P16885	P48736
Q13557	Q9UQM7
P04792	Q5UIP0
P07900	P35869
P40933	Q04206
O15111	Q92844
P21333	P45985
Q13936	Q9P2W3
P14151	Q13477
Q12959	Q14160
P35080	Q99719
O00574	P10720
P53803	Q9HCS7
P17858	Q9Y490
Q12933	Q9NR28
P49815	Q15382
P15018	P78552
P01242	P15260
406983	Q96JJ3
Q13315	Q7Z6J9
O43237	P07437
O15123	P11362
P10082	P27487
P33981	Q6WCQ1
P17028	Q5T3J3
O15055	Q07869
P22532	Q16659
P10916	P62140
P53350	Q7L590
P40337	P46781
O15169	P49841
P01241	Q99650
P11274	P36402
O15226	P35228
P48549	P63211
O15335	P26010
P25787	Q9Y5K5
P00519	Q9UF33
P17301	Q9HBI1
406991	O43597
Q13485	Q9H0M0
O14920	Q00839
P78344	Q99459
P12931	Q9BWW9
P62158	Q9UQM7
P25788	Q00987
Q13185	Q8IWI9
P55795	Q12906
Q15005	Q9NZ72
P41182	Q9UQL6
O14493	O75970
P18077	Q9Y4K3
P40937	Q13573
P16885	Q15303
O60508	P52597
O00257	Q99607
P49815	Q13526
P21580	P63104
P35222	P98177
Q8IXI1	Q8IZD9
Q13148	Q9UKY1
P08107	P27695
P01137	Q15717
P11226	P48740
P08912	Q13596
P67775	Q99832
P06241	P37840
O94806	P04049
O94762	P49959
P62140	Q02641
O96013	P18084
P0CG48	Q9UNQ0
O00574	P10147
P49810	Q9NZ42
P46092	P51671
Q12923	Q92851
O75582	Q8TEY5
P24941	Q8NHZ8
P62249	P62701
Q14457	Q96EE3
O00626	P51681
P01889	P43307
O14512	P40189
Q5TCY1	Q9H583
P45983	Q99956
P60983	P62993
P02751	P02787
Q15323	Q9NR96
Q13237	Q9UPR5
P62249	P62263
Q13315	Q96N67
Q15173	Q9Y698
406907	O75116
P31152	Q01196
P16581	Q04206
P01106	Q7Z4Q2
P08559	P52429
P17844	Q07666
406984	Q9UPY6
P63098	Q53ET0
P42338	Q08881
P12235	P62993
P05129	P16220
P08579	Q13573
O14976	P11142
P58876	Q92769
406905	P23560
O95409	P10071
Q96MT3	Q9HCE7
O75569	Q9UPY3
P00533	P98172
P45985	P46109
O94763	Q16186
O43242	Q9UNM6
O15400	O75379
Q07002	Q15436
Q13885	Q6PEY2
Q9BTT6	Q9P2H0
P01100	P17275
P20226	Q9Y388
Q15323	Q9Y6T7
P25054	P33992
P28074	P60900
Q96QZ7	Q9H251
P27361	P60953
Q07954	Q9UP38
Q76FK4	Q9HB90
P13861	Q05469
P51784	Q9C0C7
P63261	Q6WCQ1
P30504	Q15365
P23528	Q16659
O75508	Q9Y5I7
Q07817	Q8IV08
P51610	P78537
P52298	Q15428
O95467	P13945
P38484	Q8WXH5
O94782	Q9NVI1
P08621	Q99590
O75400	Q8TBK6
P13725	Q6UXL0
P14780	Q9HBY0
P23396	P46781
406980	Q8WY64
P55210	Q14164
P29350	P43626
P30050	P62913
P16104	Q99880
P56880	P78369
P05106	Q9Y3P9
P31942	Q92993
P25787	P28062
O43298	Q8TAU3
Q9Y4Z0	Q9Y675
P19876	P25024
O00487	Q9UNM6
O00214	Q13137
P38936	Q13107
Q7Z2G1	Q99878
P15170	Q9Y466
P46777	P62891
P53420	Q13683
O15105	Q9NR48
P63104	Q9NRI5
O75365	P52272
O60739	Q99436
P36897	Q04771
P01019	Q9ULA0
P10275	P48552
P35626	Q8NGR6
P10809	Q07812
P05112	Q01113
P23508	Q14165
P01106	Q16514
P35609	P55318
P25440	Q9Y4A5
P41743	Q04759
P05013	P15260
P04004	P05106
P25786	Q9GZN1
P08172	P63096
O14818	Q9P2G9
P55157	Q86UR5
Q15843	Q8WXE9
P10070	Q92630
P62745	Q9H7D0
P14136	Q12857
O14508	Q8IU57
P07948	Q9UN19
P05026	Q5UIP0
P20908	P31431
O14777	P51955
P32246	P42830
P46940	Q9H0H5
Q8IWT3	Q9ULL4
Q6PD74	Q99613
P53778	Q13541
P01106	Q02156
Q13285	Q9H2G2
O76070	P45983
P35626	Q8NH59
O95573	Q86WV6
Q9BPW8	Q9HA65
P18077	P40429
P68104	Q969T4
P22694	Q8IZS8
O43561	P18031
Q01196	Q15723
Q8WYR1	Q9UN42
Q03135	Q8NFW9
Q8IU57	Q9NYY1
P55209	Q6ZVT0
Q92993	Q9H0E9
P35968	Q13191
P09769	P98082
Q14764	Q16665
O00571	Q6WCQ1
P13473	P51149
P61073	Q9UBD3
P63027	Q9P0L0
P46379	Q8TEK3
P53041	Q99683
P01892	Q07444
P17252	Q01959
P04049	Q16543
P21246	Q9Y6H5
P25963	P31751
P25445	Q14790
A8K6C2	Q01344
Q5QP82	Q8IY92
P05198	Q13573
O60603	P05412
P11021	P49642
Q5VTD9	Q9C0E4
O43542	O43543
Q5VU43	Q96KM6
A8TX70	P18084
P22681	Q13094
Q13573	Q53GS9
P37023	P55055
