#node1	node2
O95197	Q9Y5P4
P78396	Q99741
P26358	P49841
P62917	Q9H8M7
O43318	Q96EX3
Q14457	Q9UNL4
O95685	P15735
P04156	Q14011
P35626	Q7Z3T1
406987	O95238
O00463	P25942
Q13315	Q9UBE0
P51991	Q15366
Q8N1F7	Q8WYP5
P12109	P18084
P24864	Q08050
O00459	Q9UBI6
P30613	P52790
O95886	P19174
P30443	P43631
Q09161	Q13315
O15320	P55157
P22607	Q9HCT0
O00238	Q9H4E5
Q02750	Q96S96
O15360	Q9HB96
P05388	P63104
Q06787	Q7L576
Q13535	Q96A47
Q9H2G2	Q9Y697
P20226	Q9NZ32
Q03135	Q8NFW9
P31995	Q96RQ1
P13569	P61619
O75528	Q8N2W9
Q02388	Q8TBC3
O14879	Q7Z434
P09619	Q92529
P31749	Q14643
Q15382	Q9BVC4
P42574	Q13077
O95359	Q9Y6A5
Q13315	Q8WUA4
P37231	Q13547
P36894	Q15427
O00505	Q15007
P06748	Q9Y4K3
P0CG48	Q9UK53
P54920	Q13507
P00533	P04264
P19174	Q13588
Q9HAP6	Q9UHC3
P25116	P63092
Q13573	Q9Y3U8
O60499	O75379
O95166	Q14257
Q15047	Q9UN74
P62873	Q99677
P32121	Q8NGJ7
O95819	P07437
P51690	Q07912
P52630	Q9Y6X2
P61968	Q8WW01
P04049	P98170
P28482	Q12772
P18146	Q2TAL8
P46527	Q13547
P05023	P28482
P54257	Q9H079
P27348	P42338
P08151	P10070
P51828	P63211
P04899	Q08828
O00329	P54709
Q5UIP0	Q9NX09
Q16816	Q9NZT1
P00533	P01308
Q13315	Q9UPS8
P27540	P41159
Q03164	Q9GZS3
P07942	P11047
P08173	Q9HAV0
P68366	P68371
P40337	P62750
P09619	P61328
P42224	Q13557
Q96NW7	Q9UQM7
P78352	Q96AP0
P13501	P16220
O75159	P14784
P49841	Q6UN15
P19235	Q13191
5512	Q13263
O15198	O43541
P06729	P20963
P32121	Q6IFN5
Q13315	Q9Y2H1
P21802	Q6S5L8
P10916	P36873
P16234	Q9GZP0
P00519	P30876
P26368	Q8N7W2
Q13243	Q86V81
P17181	P50591
Q7Z4Q2	Q9Y2Q3
P38936	Q75N90
A8K6C2	Q8N6P7
O60921	Q99615
Q14204	Q9BVA1
O75689	Q01130
P41091	P49770
P25787	Q14164
P27986	P49841
P24723	Q9Y624
O43187	Q15051
P51149	Q9H1Y0
P01566	Q13261
2310	P04179
O95994	Q02817
Q8WUW1	Q92747
Q7L622	Q9NNW5
O75367	Q96DB2
P10828	P27986
P32004	Q96S59
O75427	Q9NQC3
O75751	Q9UJU5
P32881	P48551
O94811	P37840
Q96FZ7	Q9BRG1
P38405	Q8NGR9
Q8WXK4	Q93034
P27361	P62873
P62826	Q9P2G9
P30084	P30480
P22455	Q9H4P4
A6NM45	P56746
P68431	Q8TEK3
P03372	P49716
P62491	Q9ULV0
Q15366	Q9P2I0
Q14197	Q9BU61
P62837	Q9BY78
P42575	Q14203
Q14562	Q8TBK6
P31785	Q8WYR1
P06493	Q5MJ70
P01568	Q99665
O43293	P62993
Q13573	Q96T37
P08670	Q9GZT8
P63104	Q9NX09
P22362	P51684
P55084	Q9H0R8
Q07866	Q16659
P15336	Q6UUV9
P54253	Q96HA1
P19438	Q99558
P48443	Q86YW9
O75586	O95402
P25963	P34931
P08243	Q9NWF9
406987	P52926
P62491	Q14164
O76100	P32121
P12956	Q96KM6
P04637	Q9Y261
P10636	Q13526
P68371	Q14204
P48061	Q6V1X1
P14859	P40424
Q13616	Q7Z6M2
Q9BVA1	Q9H7E9
P26006	Q14315
P04233	P33076
P04637	P04731
Q9HAV0	Q9HBW0
P63000	Q05513
P00505	P78396
O43182	Q92730
O96018	Q92844
P08754	P33765
O95376	P68036
P49593	P56192
Q86XK3	Q96EV8
P15248	P42701
P04629	P29350
Q9UKB1	Q9UKT4
P0C0S5	Q96RL1
P46778	P61513
P58876	Q9BTM1
P62993	Q8WX92
P08047	Q03518
P20339	Q9P2R3
P22681	Q9Y371
P26038	P78545
P30304	Q9UM11
P14649	Q9H1R3
O14980	P46108
O43513	Q9NX70
P19793	P24468
O95750	P35968
P00740	P41235
O95967	Q96EQ0
P36873	Q9C0J8
O75971	P46736
P41743	Q9ULK5
P09471	Q3MJ16
P40259	P51451
P22105	P26012
Q13976	Q15147
145781	B2RTY4
P29474	Q8IU85
Q15843	Q9BY44
P13942	Q05397
P21462	P84996
P50395	Q9Y4K3
P62993	Q15036
P35626	Q8N162
P00519	P63244
Q9H361	Q9UL18
Q14CW9	Q9NRD5
P04004	P06756
P28070	Q15797
Q00987	Q9NS23
Q9BQE3	Q9UGJ1
Q96EQ8	Q9BYX4
P18074	P51946
Q15428	Q96I25
P07992	Q96S82
P0CG48	P61978
P27361	Q05682
O14654	P27986
P21266	Q9Y4K3
P22612	Q8IWT1
P46782	P62263
P10242	Q9H2X6
P01241	Q15019
P35326	P78352
O75581	P41221
Q5VVX9	Q96LD4
Q96HF1	Q9Y6F9
P14854	Q8IXH7
P04843	P30480
P04637	P51959
P32121	Q8NGN3
P14784	P32881
P16885	Q3MJ16
O15524	O60674
O15371	P47813
Q16514	Q16594
Q05519	Q13247
P48730	Q96RY5
P61244	Q8N163
P23508	Q9UBT2
P20290	P35222
P09651	P62995
O15524	Q969J5
P00749	P40424
P67775	Q9BX67
Q13573	Q14103
P15248	Q99650
O15551	Q9UDY2
O75962	Q9Y5J5
P15927	P68104
Q15796	Q96S59
P17948	Q13191
O43610	P62993
P11166	P27797
P15056	P61981
O60493	Q14164
Q8NBJ4	Q9UFN0
Q8TEW0	Q92692
O75084	Q5T4F7
P24043	Q496J9
P32519	P53539
O60232	Q02413
Q15796	Q9Y2U8
6702	Q92995
Q96A72	Q9BZI7
Q00325	Q9HCK5
O00213	P00519
O15254	P98175
O43521	P31946
Q07666	Q08211
Q13315	Q99567
O00141	P61247
Q9H160	Q9UK53
P12931	Q9NQC3
P18146	Q9Y222
P06239	P10721
P00734	P03951
P15622	P41227
P46527	Q13131
P15036	P23771
P46092	P52333
P28562	P53779
P15248	P42229
O00231	P68104
Q14088	Q9NQC3
P10600	Q14766
P26992	P40225
Q16514	Q9Y4A5
P30307	P31946
P42229	P51692
P01106	P07858
Q14498	Q8TBK6
O95257	P52943
P52564	Q99683
O15525	Q14494
P00751	P27918
P09012	P52747
P24844	Q9H1R3
P30260	Q9UJX6
P61266	P63027
Q9NZI8	Q9UET6
P08754	P48549
P43405	Q8WV28
P15311	Q8IZE3
P01106	Q14697
P46527	Q02156
P17252	Q16875
P30154	Q13698
P09651	P31943
P05067	Q96BI3
O95793	P62136
Q15262	Q9UM73
Q69YQ0	Q9BZE0
O75496	Q15329
Q13315	Q96GM5
P27540	P35318
P23284	Q96EQ0
P21817	P62993
P30679	Q9Y271
P62993	Q9NZM4
P17535	P53539
P78344	Q9BUB5
P05412	P20702
P60228	Q99613
O00212	O43295
P10276	Q15466
P38398	Q9UBD5
Q05639	Q16659
P67870	Q96RK0
O43318	P17844
Q9H5V7	Q9UKS7
P17480	P68133
P61077	Q9UBS8
P35998	P62195
P63104	Q9H9J4
P05412	Q03014
O60763	Q06547
P62820	Q9H8Y8
P46776	P46779
P12814	Q92831
P34932	Q9UBR2
Q8IYF3	Q9NZ42
P01243	Q15796
P41220	Q96QB1
Q8IY92	Q96EE3
Q00722	Q9NPG1
P41279	Q00653
O43678	O75438
P11474	P48788
P01106	P78346
Q14061	Q5T3J3
Q16629	Q86U42
P22736	Q9Y243
O15111	Q8NI38
P10275	Q9UHY1
P62136	Q9BQI3
P56704	Q14696
Q8NFH5	Q99567
P05019	Q9Y5S1
P10600	P84022
O00574	P32298
P49736	Q14164
P56537	Q9UHV9
P13500	P51684
P46108	Q9Y2H0
Q9HCK5	Q9UJS0
P23396	P63104
64397	Q13315
Q86YV6	Q9P286
Q08170	Q92620
Q13315	Q4G0J3
P30480	Q00688
O14974	Q13237
O43865	Q13535
P16234	Q9H0M0
P18847	P51817
P30153	P36507
P15924	Q9UMD9
P63215	Q16539
P33992	Q92794
P10916	P60709
P28749	P29323
Q86UT6	Q9Y6K9
O95983	Q9UPN9
P41597	P51671
P62993	P68431
Q16659	Q8NAF0
O43639	P30530
P51159	Q8IYJ3
P42229	P45983
O00194	Q03135
P27540	Q16665
P31943	Q14103
P51681	Q15013
P05019	Q15349
Q07666	Q15796
P41567	P55884
P11142	P99999
Q13535	Q9UER7
P46782	P63220
P50616	Q8IY67
407055	Q8N122
O14745	P26038
Q03519	Q04206
P11831	Q13643
Q09472	Q9Y230
P12236	P19174
Q15154	Q8TAM2
P31749	Q15027
P32298	P49407
O43323	Q13635
P15391	P42336
P08238	Q7Z6M2
O95816	Q00005
O00762	Q86Y01
P22612	Q9UBI6
P31751	P56277
P23443	P42336
P60953	Q5HYC2
O95168	Q16795
P21860	P98077
5512	Q96SB3
Q6FHJ7	Q9Y6F9
P01106	Q14683
P81877	Q86U70
P50750	Q9Y5B9
Q9H8W4	Q9NS73
P31947	Q96B36
P17948	P21583
P62158	Q99558
O75925	Q92731
O14610	O14827
O75928	P40763
P04183	Q5UIP0
P16220	P24723
O15264	P30153
P56524	Q13554
P36897	P63010
P31152	Q07890
O60262	P14416
O60739	P29401
P51610	Q9UPP1
P02458	P21781
P0CG47	Q9UJM3
Q9BUV8	Q9P0M9
O43809	P60896
P51970	Q9Y6M9
Q9BUJ2	Q9NW64
P08069	Q99961
Q01780	Q99459
P39023	P50914
P49662	P53007
P28472	P46459
O14508	P10912
P35637	Q12986
Q13535	Q3MIT2
406991	Q32MZ4
P22694	P35222
P19838	P52926
P12931	Q9Y2W2
P0CG48	Q8IVM0
P60953	Q8IW93
P58876	Q7L7L0
P62979	Q13155
P27797	P78504
P51665	Q16401
P08670	Q9H4K1
P38405	Q8NGE1
O95503	Q93009
O76061	P30086
Q15834	Q9Y3A3
P10275	Q15652
P02766	P31942
A4D0S4	P05556
O00291	Q9NWB7
Q15334	Q9BYG5
O14775	O60503
P15923	Q13309
O95398	Q15759
O15056	Q96B97
P12318	Q8IYS5
Q71UM5	Q9UL18
P68431	Q96T88
P51116	Q9Y2J4
Q76I76	Q9Y281
Q13651	Q8IU54
O60684	Q9UI14
P35240	Q9Y2J2
Q92905	Q9BXL7
P14784	P29353
Q8TDY2	Q9BSB4
P49759	Q8N2W9
P27986	P54710
P05556	P30101
P16104	Q96DG6
P06241	P16144
O43707	P68032
Q00653	Q71U36
O60814	Q969S8
P38936	Q12778
O75365	P33993
P22612	Q13936
P35221	Q9UHB6
Q16881	Q96I34
P25440	Q99459
Q93062	Q9H0E2
Q12933	Q8TBB1
O76075	P16220
P62266	Q13233
P63104	Q9NYF5
Q00005	Q13085
P20309	Q8IZF0
Q13310	Q9Y6K5
P42772	Q13887
Q92673	Q9UJY5
O75554	Q15637
Q8NHZ8	Q9UJX2
Q15910	Q9NYS7
Q8N655	Q96KQ7
Q13535	Q9HAW4
P54132	Q2NKX8
P26010	P29400
Q16514	Q9Y6J9
P17181	P22301
P24522	Q13952
P16234	P20827
P30793	P53778
O75578	P26012
Q13315	Q8NFC6
O43513	Q9BTT4
O43765	P10451
Q8N9I9	Q96LR5
P07947	Q15717
O15455	Q02556
P56747	Q07157
P19438	Q96AG4
P31785	Q13261
P50552	Q13683
P42766	P62891
O14920	P11021
Q12809	Q14318
O60313	Q12983
P56199	Q9NVD7
P63162	Q07666
O15230	Q05397
P49795	Q16659
P68366	Q3ZCM7
Q00005	Q15717
P10276	P28702
P01374	P36941
407025	Q9Y6K1
Q13535	Q9P0K8
Q06710	Q12951
O75688	P06396
P04899	P46094
P37231	Q16254
Q92769	Q9P0M6
P67775	Q02241
Q07889	Q9Y4G8
P40933	Q6UXL0
P10321	P43632
P49815	Q96PY6
O14543	Q14626
Q93079	Q99878
Q01130	Q15366
P62491	Q9BXF6
P67775	Q05513
P04899	P45983
O00206	P05412
O43524	P54646
P20585	P43246
P27824	Q9Y244
P05412	P31749
