#node1	node2
O75586	Q9NX70
P62330	Q8TDY4
406893	Q15910
O43521	P10415
O15524	Q6UXL0
P16104	Q14676
P31946	Q9Y2H1
P61952	Q13936
O95467	P51828
O94817	Q9BQ66
P01579	Q99650
Q15834	Q9P104
P01562	P38484
O14641	P49910
P17301	P26010
P62891	Q07020
O14493	O95471
O15444	P49238
Q9HAV4	Q9Y5J5
O14492	P10721
P50213	P51553
P20333	Q9UKB1
406884	Q92945
Q8TDN6	Q9Y5S2
P46459	Q9UKR5
P18146	Q13163
P24278	Q12933
P04183	P68104
O15444	P51677
P62837	Q96BH1
P11142	P35222
P27348	Q32P44
Q16777	Q9UKV0
P01137	Q13018
O60716	Q99459
P62256	Q7Z569
P62745	Q8IWW6
P07477	P25116
Q07817	Q9UKY1
P28074	Q96BK5
O14896	P36952
Q13769	Q96NB3
P05014	P32927
P18124	Q92901
Q07820	Q7Z6Z7
P67870	Q13371
P11021	Q9UHD2
P01112	Q9Y4G8
Q96PN6	Q9UK08
P23945	P84996
P62805	Q9NPI1
P84022	Q13616
P12757	P35998
P12956	P62993
26765	P17676
P19387	P23193
P20718	P55957
P07814	P63104
P46094	P49407
P05000	Q8N6P7
P0C5Z0	P58876
P51813	P56945
O75167	P46108
P62306	Q969L4
O15162	Q6UY11
P31152	Q9UQC2
Q13315	Q9UIG0
Q16671	Q6KF10
P56856	Q8N6F1
Q15834	Q53FD0
A6NMZ7	Q9HCN6
P61088	Q13404
P56524	Q99877
P15514	P26447
O75578	P63261
P01567	Q6UXL0
O43426	Q12965
P24752	P30480
Q14181	Q9Y6H6
O00755	Q13467
O43395	Q15020
O15042	Q86XP3
P62081	P62273
Q03001	Q8TDR0
O75363	Q96QB1
P31785	Q13007
P54253	P62258
P62826	Q96D46
P22301	Q13568
Q96T60	Q9Y4W2
P01111	P27361
Q9H9Y6	Q9P1U0
O14967	Q6SZW1
P62834	Q9Y4K3
Q9NR96	Q9NX58
Q13158	Q9UBN6
P05129	Q05586
Q9BWD1	Q9H1Y0
P00519	P16333
P63104	Q5SW79
P02649	P98164
Q01201	Q99731
O14965	P20936
Q05193	Q12965
O00567	Q16594
O15160	Q9UL18
P04183	Q9UHY1
P15090	Q92882
O43324	Q13315
Q01094	Q9UBU7
P01236	Q9UBR4
Q8N668	Q9GZQ3
P85299	Q9BQA1
Q13573	Q9NPF5
O95870	Q99942
P24158	P49913
P04083	P60709
P62805	Q92466
P55769	Q5T3J3
P06241	P35612
Q92878	Q99708
Q15648	Q86YW9
Q8IVF5	Q92890
P04637	Q03013
O15111	Q13077
P00414	P08246
O00214	P02647
P23508	Q9Y696
Q14457	Q7Z3C6
Q96NY8	Q9NQS3
P49755	Q9NZ42
P26583	Q9Y4K3
Q13490	Q92844
O43707	Q5TCQ9
O95067	P49736
P32456	P55957
Q13522	Q66LE6
O75530	Q15022
O00305	Q969Q6
P05106	Q06124
P46734	Q96MM3
P08670	P20073
O15121	O43809
P05387	Q92901
P17301	Q08043
Q14197	Q9Y2Q9
O43306	P62873
P16220	Q9H0H0
P40763	P53779
Q13573	Q9UKV3
P08567	P51659
P19174	P42768
P15336	P49715
Q14469	Q8NB91
P10114	P68104
P53350	P68366
Q5VTD9	Q96JN2
Q15047	Q9H0E2
O75533	Q9BWJ5
Q08209	Q99828
O43318	Q9H2X6
P01871	P04264
O96019	Q9H0E9
Q9GZS1	Q9NXS2
P51812	Q9Y2Q3
P32239	Q96SB3
P04150	Q13569
P06493	P38919
O14980	O95149
P16152	P23508
Q9UGJ1	Q9Y5J5
P48634	P54253
P04626	Q9Y2R2
P07942	Q7L0J3
P01116	P08069
Q13485	Q9UI36
O14508	P42224
Q12772	Q99614
P29353	P49137
P31751	P45985
P13807	P36873
P10914	P40763
Q07890	Q9P107
O00161	Q15836
P10275	P31749
Q96HA1	Q9Y5P4
O00231	Q9UL46
P00558	P63104
P17405	Q9BVJ7
O14910	Q9UQB8
O14503	Q9H0E2
P61927	Q92901
O15371	P55884
O75888	Q9Y275
O60814	P0C5Z0
Q96B02	Q9NS56
P10276	P43354
Q7L5A8	Q9NRR5
Q99459	Q9HBI1
O15131	P22392
P18206	Q14781
Q7RTS6	Q9UKV8
Q12778	Q96EB6
O95639	Q6UXN9
P08588	Q96QZ7
Q14833	Q9UK08
O75509	P43243
P42345	P51397
P62424	Q9UL18
P63208	Q93009
P08246	Q9HCG7
P22455	Q15389
P01137	P84022
Q14686	Q9NWQ8
P56182	P68371
O95831	Q16611
P60763	Q9P227
P01106	P57088
O95149	Q16643
P62879	Q9UBS5
O75478	P20226
P38398	P61077
P51878	Q14116
P63208	Q9HB71
O43502	O43542
P19525	P46087
P27986	P40197
P52198	Q96HP0
P62241	P62979
Q08117	Q99729
Q96H22	Q9H8T0
Q13315	Q9P2W1
O15111	P04350
Q13315	Q9NYF8
P00750	P05154
P12755	Q9BZK7
P32121	Q96R27
O14950	P60660
Q13315	Q6GYQ0
P46108	Q07890
P42229	Q13469
P07437	Q13233
O00744	Q9UP38
P51790	Q9HD26
O60739	P14174
O14775	Q13698
P07355	P12004
Q9BU76	Q9H190
P22090	P62851
P45984	Q9UQF2
P10275	P13056
P68363	Q9Y6G9
P84996	Q92633
P04899	P08069
O75478	P01106
O15264	Q13873
O95602	Q9Y2S0
P25054	Q9Y297
P50151	Q9UBS5
P62891	Q9Y3U8
P35348	Q14344
P22455	P42336
P38405	Q8NGE0
P43034	P68402
P22612	Q68CJ9
P51991	Q9BUJ2
P25445	Q9UKR5
406888	P01116
P23396	Q00653
Q16778	Q9Y5B9
P62195	Q5VTR2
Q9H2G2	Q9NQ25
Q08345	Q96DI7
O60921	Q13547
P09619	P22681
P10301	Q8WZA2
Q9H2G2	Q9Y619
O00574	P51671
P00966	P63104
O75582	Q04206
P49321	P62330
P48544	P61952
O75821	P55884
P06241	Q9UK85
Q13315	Q5T200
P08581	P16144
P05106	P07942
P35244	Q9NS91
P17612	P48549
P38936	Q13309
Q6IBS0	Q9P1U1
P61962	P61981
O00459	P06213
O60610	O60861
407025	Q00534
Q96GF1	Q96LR5
P11171	Q96QB1
P26651	Q96F86
Q13418	Q9BWH6
P63104	Q02790
Q16778	Q96RL1
Q13315	Q8TAQ2
Q07817	Q9H1Y0
P30408	Q08345
P24530	P56693
O95886	P27986
Q8TF74	Q9NZC7
P26718	Q29980
P14923	Q9HCS4
Q13616	Q96EF6
407013	P16104
P67870	Q8WW35
O76071	Q13085
O75528	Q9NR33
Q00403	Q04206
P23945	P43250
Q96A84	Q9H8T0
P07900	Q9H9G7
P04075	P16104
P60953	Q16584
Q9H213	Q9NPI1
Q9NWT1	Q9UL18
P11802	P30279
P30518	P84996
P09619	P29350
P10147	P25024
Q13094	Q15464
Q96KB5	Q9P2H0
Q13547	Q7L2E3
P37840	Q96N67
P21673	Q9Y2A0
P08908	Q9P2W3
P13928	P68133
P11802	Q96T76
P43360	Q92797
P05067	Q8WW43
P13569	Q9H3R2
O60884	Q15796
P62993	Q92614
P01889	P43630
P25490	P43629
P27986	Q8WX92
Q01449	Q7Z406
P49753	Q9NRM2
O43257	Q16539
Q93100	Q96RG2
Q9ULV8	Q9Y371
P01106	Q16718
Q14344	Q99500
P23508	Q9Y5B9
O14569	Q6PKC3
P29317	P52798
Q5JWF2	Q8TDV5
Q00987	Q9UER7
P46776	P62906
O00231	P04406
P06756	P55268
O00231	Q06323
P61218	Q9H1D9
O43586	P61513
P62917	Q13573
P53675	Q96CW1
P62304	Q15428
Q71UI9	Q99877
O94972	Q9Y4K3
Q15797	Q8WUD1
P68036	Q8N9I9
Q15172	Q86YF9
Q99717	Q9H0M0
P15260	Q9HBE4
P78527	Q9Y572
P22234	P63092
O94921	Q04771
P62854	P63220
O00203	Q12955
O14920	Q9UHD2
Q01196	Q92769
O14512	P42229
Q7L7L0	Q9UKV0
Q13620	Q6UXN9
P05060	P18754
P16220	P67775
P00533	Q00722
Q16695	Q9UHJ3
P49841	Q12840
P05771	P15336
Q92985	Q96A33
P22314	P63279
P48552	Q9UBC3
P35626	Q6IF63
P35080	P60709
P04632	P98170
P20042	Q05516
Q00653	Q13200
P35626	Q8NGD3
406913	P14921
O14744	Q8N163
Q99459	Q9UHD8
O43741	Q9C0K7
P04629	Q96J02
P03886	P03923
O60885	P46108
P35609	Q13573
P27487	P51671
O14544	P15260
O14610	Q14832
P32121	Q8NH04
O00548	P49768
P21246	P40306
P51946	Q07869
P51681	Q9UBD3
P14550	Q03001
P23511	P35625
P42336	Q9UBK5
P67809	Q92620
P31749	P53778
P16104	Q969S8
O60739	O75821
P06213	P29353
P30480	P58546
P32248	P55773
P06748	P61956
Q14790	Q9NS56
O75956	P26641
O75716	Q9Y675
Q9NYY3	Q9Y2H0
P50914	Q969T4
Q16787	Q496J9
O95398	P08754
Q9NRZ9	Q9UJW3
O15105	Q9UIS9
Q01094	Q7L590
P0C1Z6	Q53TQ3
P08708	P60866
407021	P09486
O95837	P08172
O15530	Q15418
P31689	Q92956
P04637	Q16594
P55795	Q96PU8
O43541	Q15797
Q12789	Q9H1I8
Q9NQR9	Q9UGI9
P38405	Q8NH93
P35568	Q06124
P01563	Q09472
Q13243	Q86V81
P22626	Q00839
P06454	P24941
P05787	P42574
P15153	Q96HP0
P21673	P49903
Q99567	Q9BW27
Q9NR46	Q9ULV8
P53778	Q9Y4K3
P46531	Q8WW43
P50539	Q6XUX3
P63279	Q9H307
P19438	P63279
O76071	Q4L180
O15360	Q9NPI8
P04141	Q04864
P42766	Q9BVA1
P16383	P54253
P38936	Q9NPI5
P06730	Q13838
P49716	P78504
P61247	P62841
P61764	Q00535
O95741	P18146
Q16537	Q8WXS5
554210	Q9Y2M5
O00175	P46094
Q04721	Q96BI3
O14733	Q9P2G9
P05452	P38936
Q9HAU4	Q9UBK9
P30480	P49773
Q14204	Q99459
P32969	Q8TB05
O60840	P22612
P35968	P55075
Q8IY92	Q96RP9
P63000	Q9UN19
O00217	Q9P0J0
P16471	Q15303
Q16539	Q9Y5S8
O95157	P16333
P35070	Q15303
Q15645	Q9NRQ2
P35626	Q8NGC1
Q8TAD8	Q9UBW7
Q15834	Q9H8W4
P21728	Q9NYX4
P09466	Q5UIP0
P01569	Q00653
P42574	Q16082
Q13562	Q16620
P38405	P47898
Q13332	Q13885
P01116	P09619
Q7Z2E3	Q8N137
P16401	Q96EB6
O60925	Q99613
Q00839	Q99873
P13637	Q13976
P84095	Q9Y3M8
Q70YC4	Q9NXR1
P61956	Q99666
P16220	Q969V6
P23141	P58062
P55160	P60763
P48736	Q13191
Q01130	Q9BUJ2
P56945	Q68CZ2
O94776	Q13573
P01127	P06213
Q01082	Q9Y572
O94906	Q13573
P38936	P62328
P24522	Q01085
P11177	P20073
P45985	P49407
O60641	P19438
O75970	P41595
P54578	Q9Y5K5
O00329	P05019
O00233	P62195
O15519	Q96JH8
O95376	Q9HC35
Q9UI09	Q9Y6M9
Q14194	Q16555
O43252	Q96I34
P16220	Q9NZN1
O60504	Q8TDM6
P55060	P61981
P06241	Q9Y4K4
P56524	Q93079
P26368	Q15428
P02545	Q05513
P60900	Q9Y5K5
P51571	Q9UKV8
Q15654	Q9HC36
Q9GZT8	Q9UI14
O43639	P42768
O60488	P63104
P19388	P24928
O14777	Q9H3R5
P04054	Q9Y263
Q9UL18	Q9UNQ2
P00519	Q13191
P19338	P31949
P25116	P35626
P08514	P26010
P04629	Q96PU5
O15055	P20393
Q16655	Q96J02
O15392	P34932
406961	P52926
O14775	P08908
Q15008	Q9NVI7
Q13418	Q9UBB4
P19012	Q15154
407011	Q9UI32
P35749	P63104
P08069	Q02750
O14920	Q9NYJ8
P19387	Q8WX92
Q01844	Q96QG7
P06241	Q9UMN6
P46781	P62701
O43281	O60504
O15516	P49841
P12980	Q9UHG0
Q12933	Q15306
P51149	Q13409
Q15025	Q9NWB1
P61244	P84022
Q9UGI0	Q9Y4K3
P08581	Q9ULV8
P01588	P08887
P01106	Q96A65
O43353	P53779
P42677	P62851
P17252	Q9Y6R4
P27361	Q16665
P22612	P54840
P06241	P19174
Q92569	Q9NSB8
Q68CZ6	Q96CS2
P08648	P24821
P60903	Q9H1D0
Q86V86	Q92934
Q09028	Q16777
P17612	Q08499
P06241	Q9HBA0
O95352	Q9H0Y0
O75818	Q99575
P19438	Q96BY2
P08727	P25054
P01857	P08779
P12931	P13987
O15117	Q8IZQ5
O15198	Q8IZL8
P08637	P43405
Q9P2H0	Q9Y6I3
Q5QNW6	Q9Y5B9
Q8WZA2	Q9Y6V0
Q92731	Q9H944
P38405	Q7Z3T1
P61073	Q15853
Q13503	Q9BTT4
P19838	Q9Y4K3
P17655	Q05397
P12883	P63261
O75445	Q13402
P23508	P61019
P63104	Q9GZV5
P08887	P29460
P06730	Q04637
P28070	Q8IY92
P26368	P52272
Q01094	Q96KJ9
P46926	Q01844
O43379	P45983
Q7L1V2	Q9P253
O60739	P37802
A8TX70	P08648
P16333	Q15027
P83916	Q02539
O60674	P42338
Q8WW01	Q9H094
P07949	Q9H201
P15498	P16333
P05106	Q9Y6N6
P23508	P23921
O60353	P56706
P17861	Q53ET0
P10071	P10914
Q6AI39	Q96EV8
P63010	Q96HA1
P09619	P25208
P01574	Q9UHF4
O14744	Q9BQA1
O15371	Q99613
P61224	Q15139
A6ND48	P32121
Q8IX12	Q969Q1
Q15038	Q96GG9
O14904	Q92765
P04899	Q99614
P50914	P62750
P17028	Q14194
O75379	Q12846
P51828	Q9P2W3
Q13635	Q9Y2G2
P52597	Q15287
P49716	Q969D9
P42331	P84095
P05129	P63211
P19544	Q15007
O75367	P33778
P28715	P84098
O00267	Q9NZ63
Q00987	Q9NS23
P27348	Q15139
406947	O14867
P62993	Q7Z7G0
Q96A33	Q9H1C4
O43353	P07900
P05783	P27348
P22612	Q99941
Q7Z6M1	Q9Y2Y6
P35968	Q9NSA1
406949	P10415
P18084	P53420
Q12872	Q13315
O00217	P03891
Q07890	Q8N392
Q92698	Q9UER7
P13725	Q6UXL0
Q8TCJ2	Q9H1C4
P51116	Q96BR9
P11229	P48736
P46940	Q99759
P08134	Q9Y4K3
O14640	Q13153
P14618	Q2TB90
P46108	Q14296
P29466	P47712
P14868	Q92569
O00483	P51970
O00463	Q02223
P01889	P35080
P07948	Q9NRA0
P22626	P38159
P06493	Q8NE35
O15260	Q86WV6
Q15020	Q15287
P61981	Q96A72
Q15005	Q92956
P04150	Q99933
P10242	P18146
P62249	P62854
O60566	P63010
O75367	Q99879
O43175	Q8TDR0
P35968	Q99961
O00329	Q13094
P17028	Q13315
O14818	P11171
Q13330	Q9C0K0
P45984	Q8WZA2
Q99784	Q9NRI5
P24821	Q05397
P07948	Q06187
O75626	P26010
Q12933	Q7Z434
P46109	Q02763
P29992	P34981
P06702	Q9P286
Q01959	Q9UQM7
O95751	Q9Y247
Q15797	Q96D21
P00519	Q9UKY7
O95931	Q8IXK0
P18564	P53420
O14544	P29597
P38405	Q8NH01
O00257	Q13426
P07202	Q8N6P7
P18146	Q96T37
P32121	P32298
P13010	Q96HA7
Q16584	Q9Y4K3
P08708	P62837
P08670	Q96HL8
P16333	Q15661
P32121	Q8NGK6
P49247	Q9NP79
P51531	P51532
P55157	P62993
Q92832	Q9NWH9
Q07890	Q9Y5S8
O75582	P04150
Q02224	Q53HL2
Q15648	Q6P2C8
Q93009	Q9NRD5
O00255	P27694
P02753	P02766
O14733	P63000
P08700	P31785
P14923	P18146
O14986	O75116
P78527	Q9H0E9
P17081	Q8N264
O43181	O75489
Q15759	Q8IW41
O43541	Q99717
P01241	Q969J5
Q92730	Q9UDV6
Q9BS18	Q9H1A4
P05556	P20339
P21333	Q9NYA1
P09661	P49662
P62910	Q9Y3U8
P62993	Q16576
C9JDP6	Q07157
P98082	Q9H2G2
O15117	Q86WV1
Q00688	Q9UKE5
P06493	P15927
P63172	Q9BQS6
O43294	Q13485
P31785	Q9GZX6
O00178	Q99459
P52294	Q5TAQ9
P42858	Q13011
P02452	P17301
O75582	Q14194
Q13557	Q14643
O95782	Q9Y4K3
O75419	P33991
Q14469	Q96EB6
O15111	P10145
Q04724	Q08117
O95400	Q14240
Q14315	Q9UQM7
P22607	Q15486
Q13535	Q8NFJ5
O60266	P16520
P17301	P49746
7012	O60832
O60296	P28472
O14905	O95813
Q13315	Q9NZC9
O15085	Q8IXI1
O14508	O14654
Q92993	Q9P2H0
O75461	P35226
Q14164	Q6XUX3
Q13573	Q96GD4
O14595	P10275
P31749	Q5S007
P21673	P52429
P06400	Q13363
P01241	Q14627
Q9BUJ2	Q9NW64
Q09472	Q9NWT6
P62942	Q02790
P35916	Q9NRA1
O00459	P23443
O43497	Q09428
O43353	P35580
P17612	P45984
P36542	Q9UL18
Q09028	Q9Y5X4
Q99759	Q9Y265
P12757	Q96PU5
P62424	Q15843
Q53EZ4	Q99816
P20042	Q14232
P30480	P60033
Q8N1N4	Q8WUW1
O15541	O75643
O14599	Q66K74
P35626	P47887
P62879	P84996
P62826	Q08945
P04141	P78552
P13796	P28676
P51668	Q13490
P31943	Q86V81
P14867	P60520
P08588	Q8TDG2
P14923	P35222
O14556	P78549
Q92831	Q9NRF9
O96013	P62745
P19474	P63104
P04083	P12956
P04150	Q15596
P01116	Q96PV0
P10914	Q8IU54
P05015	P42702
P68431	Q92830
O00422	P46459
Q96HC4	Q96P47
P10275	P49715
P17693	Q03519
P49841	Q6UXH1
P56537	Q9UKK9
P52298	Q04637
P10275	Q96S59
O14810	P63027
P61966	Q14164
P24394	P29353
Q14197	Q9BYN8
Q01844	Q01851
A8MX76	Q9H1Y0
P11215	P56945
Q92956	Q9H936
O75582	Q16539
O43516	P42768
Q15653	Q8N163
Q86VZ2	Q9BQ67
P60660	Q9Y572
O00562	P61586
P49642	Q14204
P04183	P19793
Q8N1F7	Q9H173
P51617	Q13526
406948	P60174
P06241	Q9ULH1
P41208	Q16531
P00533	Q13239
P04899	P16520
P28715	Q13501
P32969	Q15843
P27695	P63279
O15198	Q9Y2U8
Q14240	Q9BZ23
P13501	P51677
P31947	Q9P2M7
O94832	Q13418
P12931	Q08881
P18031	P51692
P04637	Q9UNH5
P04637	Q15172
Q13315	Q99708
O60674	P16410
P37198	P57740
O15105	Q8TEW0
P49683	Q13424
P01566	Q99665
O43150	Q96B97
P27824	P28074
406937	O43474
O15131	Q06609
O00329	P10301
P51532	Q01628
Q6PEY2	Q9Y6G9
P21796	Q9Y266
Q6UXL0	Q9UBD9
Q13398	Q9GZM8
P63279	Q13569
P05771	Q01970
51639	Q96BK5
Q96BY7	Q9Y484
P25440	Q9Y4A5
406982	O00716
Q8WUF5	Q9H3D4
P31152	Q15418
O15018	Q96RT1
Q8WUM4	Q9BY43
P19838	Q9Y265
P16220	P41134
P04637	P42345
Q92979	Q93015
P01909	P01920
O95169	P51970
O95751	P15407
P07550	P38405
Q15796	Q9NZJ7
Q96B36	Q9Y478
P07948	P20936
P35222	P46940
Q13243	Q15418
P50542	Q96CN9
O14775	O43306
P62310	Q9Y4Y9
P27348	P56524
O60832	Q9BUR4
O00217	O00483
Q14790	Q6GQQ9
Q99523	Q9UJY4
P62979	Q9NVI1
O95990	Q15834
Q969T4	Q96BH1
P62987	Q15303
P01100	P19784
P36896	P55103
O14640	Q9ULK5
O96019	Q13315
O14908	P17813
O95377	P49841
P38405	Q8NGZ5
P27361	Q9NZ20
P11586	P62330
P19438	P63000
Q08211	Q92620
P67809	Q8IYB3
P04637	P54619
P17480	Q9UBU8
O60508	Q9UMS4
Q14197	Q8IXM3
P32121	Q8NGA1
P47914	P62750
O60504	O96006
P33991	Q08945
Q13555	Q96BA8
O95977	P08754
P69892	P69905
O75448	Q71F56
O95622	Q9HAV0
P35626	Q8NH76
O75438	P03891
P04004	Q96RG2
P01106	Q13151
P21266	Q9H1Y0
Q13415	Q99459
O14576	Q96G01
A0JLT2	Q16637
P06241	Q96RL7
P07437	P27348
P35080	P68133
Q01064	Q9NZT1
P46379	P56556
P04183	Q9P283
O75340	P50995
P14866	Q92956
Q06609	Q14191
O43865	Q13535
Q8N196	Q99504
A6NM45	O95049
P20073	Q9BVA1
P16520	Q13153
O95721	Q9NZN3
P49840	Q12840
P22455	Q92914
O76070	P25205
P17844	Q9UKV8
P08727	Q9HAU0
Q9HBM6	Q9UMX0
Q16385	Q96QF0
P36888	P49771
Q99880	Q9Y5B9
P14373	Q9C0C9
P18440	P41227
Q9H2F5	Q9Y4A5
Q9UKT4	Q9Y297
Q9H2G2	Q9UQ26
O75800	Q13049
P38405	Q8NGJ4
P55103	Q8NER5
P17302	Q13885
P07948	Q92529
O15264	Q16828
P17844	P62993
P06493	Q15717
O00401	P17706
P12110	Q9NRI5
O95832	Q16625
P06899	Q12962
P52797	P54756
P23396	P62263
Q9P0L1	Q9Y5X1
Q12841	Q8WZ42
P38405	Q8NGL3
P05060	Q13885
406991	Q86VQ1
P35221	P63267
P01023	P04070
P01566	P38484
P32121	P62714
P61604	Q04724
P05129	P27361
P18564	Q16363
P41182	Q9ULU4
P53350	Q2NKX8
P19838	Q13233
P43405	P78314
P12931	Q14344
O75365	Q9H2M9
P18146	Q99440
O00459	P21860
O75190	P01241
Q15418	Q9H814
O96000	Q8IWF7
P11388	P78527
P35626	P58181
Q13885	Q14204
P16885	Q8WYR1
O14775	P48544
P56537	Q9Y266
P11171	P63167
P22612	P23634
P04150	P04234
P01243	P61077
P18146	Q6PL18
P43243	Q9UKV8
O60516	P42345
P06241	Q13094
P49238	Q9Y258
P08621	P78362
Q15052	Q96D09
Q7Z401	Q9NPI1
P30154	Q92736
P48723	Q9H9A7
Q92552	Q9UL18
P09467	Q8TBB1
P58876	P63104
Q92844	Q9Y6K9
P51149	Q9BQS8
P46531	Q9Y6K9
O43684	Q9UJX6
P46781	P62263
P21333	P26012
P54136	Q92844
P12931	Q15027
P32456	Q15418
P13612	P61073
Q92900	Q9UKV8
O95251	Q9C0J8
O15519	Q16543
O00231	O00487
O94941	Q13404
P18146	P40617
Q96QD5	Q99459
Q8WVC0	Q9GZS3
P19367	Q14197
O15105	Q9UII5
406886	Q9H9Z2
Q8NHZ8	Q9UKT4
P43146	Q05397
P06213	P20827
P85298	Q07890
P00519	Q15464
P22612	P61952
P29322	P52797
P10646	P35030
C9JDP6	P56746
B1A4H9	Q14627
O75800	P22392
P18206	P63244
P63104	Q684P5
P57088	Q9UET6
P16885	Q06187
P08637	Q8IYS5
P10301	P19174
P18074	P19447
P30679	Q15147
Q06455	Q9BY41
P78545	Q9Y266
O15042	O60343
P0CG48	Q9NZ09
Q16659	Q5VX71
P32969	P61927
P17081	P98171
406882	P05231
Q8IYF3	Q96GY3
Q0VG06	Q8N2Z9
O75449	O76071
P40337	Q6P1L8
Q13315	Q9UGK8
Q96BI3	Q9NZ42
P49736	Q14164
P62805	Q16695
P29992	P30411
Q15370	Q8N668
Q04759	Q9H0R8
P21580	P58012
Q7L5Y6	Q8NHY2
P13473	P37840
P51991	Q13247
O95402	P52435
P12821	Q16665
P42336	Q13393
P36873	Q13522
O75578	P11047
P12270	Q9BW27
O96009	Q12846
P01112	Q04206
P37287	Q92535
O96013	P52564
O75909	Q9NP66
P16871	P31946
P10912	Q9UHD0
P15104	Q9Y6X2
P30153	Q13188
P04629	P16885
P11473	P84022
P04150	Q92793
P31947	Q14451
P03372	Q12778
P62993	Q05655
P42261	Q9UQM7
Q16514	Q92830
O00287	P33076
P29400	Q15038
O15145	P25025
P20618	P56537
P20929	Q8WZ42
P07202	Q06710
Q15831	Q9UGJ0
P08138	Q15389
P98077	Q13480
P62910	P98095
Q15771	Q15797
O15198	O94907
P51991	Q92620
P30480	Q96QK1
P30154	Q9NSI5
Q00005	Q9Y580
P12980	Q9BQ75
P20073	P40306
P20333	Q9BYX7
P06396	P48426
P62308	Q15428
O00459	P50993
P26010	P50552
O94817	P18146
P04844	Q9BUV8
Q15836	Q9UNK0
P24864	Q9UJX5
Q12802	Q16611
O14964	Q96EV8
O94855	Q07002
P78317	Q969T4
O15541	Q13435
P12931	Q9Y6Q6
Q13315	Q5VVJ2
Q86UL8	Q9ULL4
P05230	P29317
P25787	P40337
P32121	Q08499
O96014	Q14332
O00571	P78545
O15230	P18564
P17301	P53708
Q13636	Q16659
P18509	P41586
P40197	Q92569
P07948	P12314
Q15654	Q99469
P84095	Q8IWW6
P10767	P11362
P08581	Q13191
P20671	Q99880
P60953	P98174
P01569	P31785
O60603	P19838
P25054	P35221
P07437	Q9BQE3
Q12968	Q9Y277
P31431	P34741
P01127	P16234
O75116	O95793
Q8N5U6	Q8WVN8
P36897	Q96PU5
P18146	P46059
P22694	P63211
P06241	Q9NQC3
O96013	P31946
Q6FI13	Q86WJ1
Q15369	Q9C0D3
O15126	P04637
P35712	P56693
Q9NWS9	Q9UMX1
P54259	Q5JSZ5
Q99460	Q9Y4K3
Q16891	Q9Y512
P22455	Q99961
P21802	P63104
P11274	P98077
Q92519	Q9NRR5
P29083	Q7KZF4
O15530	Q04759
P35968	P40763
P55210	Q15185
Q96LZ3	Q9H1A4
O75030	P63279
P36578	P39023
P19235	Q9HBE4
P18146	Q9NS69
O75365	Q9UBB4
Q9C040	Q9Y2X8
P27708	Q15628
Q92989	Q9NV70
P42336	Q9HAV0
Q13464	Q15796
P05113	P08887
P02708	Q02556
O43502	O75771
A6NI73	P31994
O15211	O95251
Q96C00	Q9NX70
P39023	P83881
O00483	O96000
P0CG48	P62837
P31146	P60604
P14778	Q86XR7
P68032	Q969Q1
P28482	Q9H8Y8
P51677	Q8WTQ7
Q05516	Q9H3M7
P22362	P51679
O15264	P12036
28938	Q92973
O95166	Q9Y4P1
P01889	Q9BXR0
Q09472	Q12906
P01375	Q14934
Q53T94	Q9H9Y6
P15924	P19838
Q92988	Q9Y5V3
P01106	Q9UNQ2
P17931	Q9UMX1
P56524	P58876
O14681	P62837
P07942	P10070
O75530	Q9UBC3
P30480	P61513
P07948	Q9Y6Q6
O95467	Q9Y265
O15117	Q92608
P60953	Q9BYG5
P01563	Q9UHF4
P35226	P42771
P01889	P22695
P08571	Q15750
P17028	P51681
O95622	P84996
O95294	Q07890
Q6P4R8	Q96EZ8
P61088	Q96EP1
P18146	Q9Y271
P01574	P01589
O60934	P29590
P05556	P62834
P12270	P35658
P05155	P09871
P05556	P20908
Q13315	Q96K21
Q15796	Q9UQM7
P23945	P36575
O00522	P00533
P20823	Q9UHC9
P09471	P28566
O95166	P41145
O14920	P49642
O94772	Q96I34
P84022	Q9BZ29
P62745	Q13464
P40225	P42702
574473	Q29983
Q15560	Q96DV4
P46779	Q13485
P05556	P12109
Q15042	Q9H492
P50990	Q13233
Q03001	Q13952
P25445	Q14790
O43556	Q92629
P68431	Q9BY66
P14923	Q7Z6J6
P01112	Q96PV0
O75626	Q04725
P01106	Q9Y5Q9
P61073	Q99616
P05067	Q9P2D7
P51681	P56282
O75116	Q12955
Q969G5	Q9UBC2
P05014	P42702
P20941	P22694
P63208	Q969H0
P12931	Q13349
P07942	P24043
O75038	P41743
Q13573	Q9NQW1
P49207	Q9NY93
P14778	P46734
P08887	P29459
O75886	Q9Y263
Q5T3J3	Q9Y2M5
P23508	Q15185
P38405	P58182
P11226	P26022
P11473	Q09472
P06400	P20226
Q13444	Q9BX66
Q9BQ67	Q9UKS6
P43246	Q13573
Q12972	Q9Y243
P61927	P62913
Q9UBZ9	Q9UI95
P00519	P08174
P46782	P62277
P08514	Q9NVD7
Q15291	Q99880
P61073	Q9Y5W3
P49790	Q13573
P48775	Q9P2G9
O75582	P22612
P19387	Q96CB8
P04181	Q9NRR5
Q8NC60	Q9BV38
O95071	P51965
P16871	Q14289
Q9H6J7	Q9NRR5
P49407	Q99418
O75486	O94864
O60739	Q14D04
P62837	Q6Q0C0
P51681	P55773
O60232	Q13315
P42574	Q01094
