#node1	node2
O95197	Q8N612
Q13573	Q8NE71
P46736	Q06609
P00505	Q9UET6
P18859	Q9NTG7
Q8NAV1	Q96SB4
Q7Z699	Q9UBS4
P34932	Q12933
Q92925	Q9UJX2
P85299	Q9BVC4
O60716	P28827
O14776	Q15365
P23497	Q9BXL5
Q14831	Q9P2W3
P30480	Q9BRA2
P46934	P62979
P21675	Q8WUM0
Q07889	Q9NZL6
P54253	Q86VZ5
P62256	Q92905
Q15796	Q99717
P05112	P17181
P27701	P28068
P27361	Q15418
P07332	P29084
P29803	Q15118
P04626	P27361
Q05516	Q8WUI4
Q00587	Q93062
Q07820	Q13526
P31749	P62136
P38646	P61981
P08069	Q92529
P36873	Q8TD86
P10515	Q15118
P01562	Q09472
Q06432	Q14738
P02774	P84101
P07237	Q86YB8
O75626	Q8WXG1
O94817	Q15323
P56704	Q13467
P07942	Q96RT1
Q13535	Q99504
P04183	P46013
O14610	P17612
P20248	Q99708
Q08211	Q12986
Q12986	Q13151
O14965	Q96SB3
Q92830	Q9UPT9
P29323	Q12974
Q16643	Q9Y572
P08138	Q9HCT0
P05231	P26951
Q15843	Q9Y5V3
O15273	O15530
P04637	Q08257
Q15628	Q96CV9
O15294	Q00005
O75419	Q92547
P18124	Q9UL18
P15976	Q05516
P61077	Q86UD3
P01303	P49019
P04843	Q92782
P84095	Q9P107
P31946	Q15287
P32298	P51681
Q6XZF7	Q9NQY0
Q14197	Q96CB9
Q06587	Q9Y2X8
Q71U36	Q9HCK5
P08620	Q07889
P02768	P06493
Q15428	Q8WYA6
Q06830	Q6WCQ1
P06400	P62937
Q13315	Q99590
P12814	Q92831
O60341	Q9BTC8
P55327	Q96J77
P38919	Q9UKV8
Q13185	Q14739
P09661	Q99459
Q07890	Q0VAM2
P56750	Q96AP7
O15444	P51677
P17948	Q00987
P63104	Q9Y230
P40692	P54277
P43686	P61289
P16619	P58012
P17040	Q9Y5X1
P45984	Q8WWQ8
O60508	P14866
P43360	Q6NXE6
P45983	P61812
P60763	Q14CB8
P01871	Q16644
P35222	Q9Y6N8
P09871	P0C0L5
O75676	P15336
P41182	Q6PCE3
Q01130	Q15696
P11234	Q96D71
O00221	O75179
Q14CW9	Q9NRD5
Q13233	Q8NHW5
Q8WUH2	Q9P2Y5
O76039	P00519
Q05655	Q9P212
P62714	Q9NSI5
Q9BVJ7	Q9P2H0
406906	Q9C0H2
P42702	Q8IZI9
O60499	Q96AJ9
P51991	Q8IYB3
P16471	P29459
O14920	P35754
P42338	P60953
P14373	Q9Y6B2
Q9HDB5	Q9NZ94
P33176	P49841
O14654	P18031
P25787	Q9Y5K5
P62993	Q02750
P04406	Q00403
P10720	P25024
O15455	Q9H0E2
O15534	P56645
O43623	P12830
Q92900	Q9Y5S9
Q13243	Q9BUJ2
P0DJD0	P63279
407027	O15226
O00238	Q16539
O95271	Q9NWT6
P02545	P05771
Q14240	Q9UBQ5
O15360	Q9NW38
P49841	Q12840
Q13571	Q9NQ87
Q13616	Q9UBF6
P35226	Q8IY57
Q14197	Q9HCE1
P25098	Q13371
P62837	Q6ZNA4
O00716	Q68CP9
P05556	P21333
P40429	P46778
Q8N4L8	Q9NRI5
Q14494	Q9Y5Q3
O00339	O95460
P21675	Q9BRT9
P10415	P12956
P08173	P62879
P08754	P49019
Q12906	Q92878
P01243	P56537
P11912	P29350
O75937	P01243
P84095	Q8N1I0
P68104	Q00613
440264	Q8TCT6
Q9NYV6	Q9Y2S0
P08195	Q99623
P04637	P78543
O14640	Q6P3W7
P11021	Q92597
P06748	P42771
O75716	Q93063
P10301	Q8WZA2
P02768	P13647
Q8IYL3	Q8NBJ4
O95819	Q01780
P08648	P18084
Q04725	Q13620
P0CG48	Q8IVM0
P10451	Q9NR12
P42229	P67775
A6NM03	P38405
Q9UNS1	Q9Y248
O15264	P22314
Q14511	Q9UM11
Q15527	Q9Y639
P22612	P59768
O43390	Q8IX12
P62993	Q92956
P30291	Q9UKB1
O60403	P35626
P05556	P15529
P38405	Q8NGD1
P52597	P84103
Q93008	Q9H992
P20908	P31431
P58107	P63010
P67809	Q07955
P46940	Q9UKW4
Q02241	Q9BQS8
P05067	P61764
Q8N2W9	Q9NQB0
P09132	P52294
P52435	Q9NX70
P60520	Q9BXK5
O60244	Q9BUE0
O60729	Q9UM73
O60721	P00519
Q14164	Q9Y3U8
O94762	Q9BTT4
O75489	O95139
P46020	Q16821
P19105	Q9Y6K9
O60828	P42858
P07996	P23229
Q13485	Q6ZN04
P46060	Q99459
Q68CP9	Q969G3
Q8IYF3	Q9UNH6
Q14831	Q9UBI6
P62310	P62318
P00736	P02746
P18031	P35222
P04899	P49682
Q13347	Q13573
P35609	Q9UKX5
O94762	P26641
O15399	P17252
Q13315	Q9Y383
A6NM45	Q8N7P3
Q6VN20	Q9C0A0
Q13418	Q15118
P13612	P29400
O75925	P02778
P61247	Q15008
P54619	Q13573
P18146	Q9Y5W3
P26599	Q15717
P25398	P46781
P48039	P50151
P48740	P51812
A6NIT4	P01589
P62879	Q14831
P10911	P35241
P38405	Q8N628
P11387	Q92841
P62140	Q93100
Q13257	Q562F6
O75925	P10276
P18089	Q03113
P27348	Q9UQC2
O14526	Q04771
P07737	Q562R1
Q15363	Q92542
P38936	Q75N90
P13725	Q9HBE5
Q06587	Q9BQ52
P0CG48	Q9Y2H0
Q6UWZ7	Q96RL1
P11678	P19174
O00159	P22087
Q8IU57	Q9NYY1
O00442	P18077
P13569	Q05086
Q9BWT1	Q9UGN5
O00257	Q13642
Q16584	Q9UQF2
P07858	P55957
P50453	Q5T3J3
Q05655	Q5SW24
P08648	Q9UKX5
P04350	Q8WWQ0
O60266	Q5JWF2
P37231	Q9UM63
P46109	P56945
P05231	P24394
P19174	Q9BXT4
P01100	Q92731
O43175	Q14164
P31749	P45985
P19387	Q9UL03
P01106	P12956
Q92733	Q9Y333
P36873	Q93100
O43924	P61225
O95084	P36578
Q96B26	Q9HCG8
P17301	P35609
P20941	P38405
P50151	Q8WYR1
P55327	P63104
Q96RN5	Q9BTT4
O00267	O14744
P20073	P46379
Q9NZ42	Q9Y219
Q13077	Q5T1R4
O60262	Q14833
P40337	Q99700
Q99878	Q99880
Q8NEB9	Q9BXW4
P41159	Q8N6P7
Q99459	Q9NU22
P16144	P50552
O96020	Q969H0
P11233	Q3MIN7
Q16778	Q6FI13
P27348	P38919
P26951	Q9NYY1
P36873	P36897
P62714	P78318
O14920	Q12933
P27986	Q9Y4K3
Q8IUQ4	Q9GZU2
P20073	Q09013
P12830	P35221
P51808	Q13409
343477	Q05516
P08621	Q15797
O14640	Q9NPI1
Q5EB52	Q92845
P41235	P49848
P26599	Q96PU8
P38405	Q8NGA6
O43353	P35579
P27930	Q99759
P26368	Q92841
P31946	Q96TC7
P51686	Q9H2A7
O14640	Q96EB6
P13569	Q9BWM7
O14730	P22087
Q16540	Q9BUV8
P04637	Q9H4B4
P63104	Q9Y4H2
P0CG48	P49459
Q8IYH5	Q9UBS4
P43246	Q8IY92
O15123	P00533
P52434	Q9GZS3
Q8WW43	Q9UM47
P02745	P05155
Q15036	Q9H2G2
O00410	Q401N2
Q8IXH7	Q9Y4R7
Q01082	Q16539
Q13315	Q15046
O95299	O96000
O43242	P35998
O14640	P49841
O60934	P15336
P40337	P48739
P10070	P18146
O75293	P18146
P51668	Q96BQ3
Q14181	Q15910
P46527	Q13315
O43524	Q96RT1
Q69YQ0	Q9Y572
P54274	Q99963
P04626	P12830
P25786	Q14CS0
Q13976	Q9NPA1
Q86U86	Q9UPN9
P60520	Q00610
Q8WXD5	Q9UHI6
P51116	Q9UIC8
P61160	Q9BPX5
P27635	Q99558
P34897	Q14164
Q13535	Q6ZW49
P62993	Q9Y496
P10636	Q7KZI7
P19438	P61619
O00763	Q9UGJ0
O43524	Q16828
P14373	P16885
P05388	P83731
P61586	Q8IZD9
Q8WYR1	Q9Y4H2
O43182	Q07889
P16104	Q15366
P20823	P41182
P57727	P68104
P17612	Q05586
Q7RTV0	Q9BWJ5
P51817	Q9Y478
O00206	P00533
P18146	Q8N6M6
P30050	Q9UQ80
P27694	Q9BVW5
P03956	P08123
P27348	Q9BQA1
O60232	P49368
P18827	P53420
P51153	Q01968
P21860	Q9ULJ1
P56693	P63165
O60658	P19838
O00329	P19320
Q14197	Q96I51
Q13698	Q86W47
Q13554	Q14571
P29274	Q08043
P18146	P33151
O00305	Q9UQM7
P55196	P62070
P54257	Q9H079
O75970	Q8NEV4
Q15361	Q15797
P0CG48	Q9H8U3
O15444	P46094
P01137	P08253
Q8IZD4	Q9NPI6
O15399	P41594
P16220	Q6UUV7
P52434	P61218
P12931	Q15654
P48431	Q5T230
P49810	Q9NZJ5
Q14697	Q9UBN6
O43809	O94913
Q15005	Q92956
O43432	O60573
Q9HCU5	Q9NR31
P12956	P15884
P45984	Q13202
P28482	Q15121
P17931	Q6UVK1
P61962	P61981
P48729	P49840
P23508	Q9UJZ1
O75582	Q99941
P51955	Q14240
P00533	Q14974
O15264	P17275
P06493	Q7Z5Q1
P14923	P19022
Q92574	Q9UGJ0
P08754	P21453
P16220	Q13555
O75197	Q9H1J7
P08579	Q14164
Q15366	Q8N5F7
Q8IVT5	Q9NNX6
O75674	Q99759
P10275	Q8N2W9
P02462	P05556
P08253	Q96GW7
Q15796	Q8TAD8
P05129	Q96KS0
P55769	Q5T3J3
P01133	P17948
O94972	O95990
P01911	P28067
O75116	P19838
Q14152	Q9UL03
P08183	Q03135
Q8N1F7	Q9HAW0
P35968	P52803
P42694	P55854
P18146	P35913
Q14919	Q9UBS4
P48729	Q13158
P14373	Q9GZU1
O75970	P10721
P12931	Q16513
P06400	Q9NY61
P05386	P40429
P00519	P15586
P10244	P49427
P46937	P62258
O95072	Q8WVM7
P42226	P52630
P01111	Q8N431
O43298	Q8IYF1
P30153	Q9UET6
P21860	Q15303
Q12933	Q93009
O14974	Q13464
P00439	P52597
P38936	P67870
P04439	P43632
P63215	Q96PN6
P01100	P01116
Q12972	Q9UQK1
P01562	P40189
O95832	Q07157
P46937	Q9H204
P30084	P63104
P19634	Q13315
O95644	Q02078
P22455	Q00987
Q15390	Q9BVJ7
P55854	P63279
P50150	Q8TCU6
P13501	P27487
P60033	Q8TDM6
O00716	Q14566
Q9NZV8	Q9P0X4
P06241	P06865
O75448	P19793
P08631	Q92835
P51617	Q9H0E2
P10912	P16333
Q12933	Q96GX9
O95166	Q9Y5U8
P26232	Q07157
P01106	Q14204
O60716	Q13535
Q8N448	Q8TBB1
P05783	P29353
Q9H2U1	Q9UL18
P01876	P02671
O00442	P46779
Q66LE6	Q96Q15
O00144	Q93098
P05412	P47712
P40225	Q01113
O43502	Q06609
O60285	O95835
P08908	P59768
P24539	Q14164
P46094	Q9UBD3
Q9HC24	Q9NX76
P10644	Q9H8W4
P35498	Q9UKL0
P28562	Q01085
P82279	Q9NY93
P60709	Q13268
O15164	Q13315
P17252	Q07157
P62263	P62280
P00519	P29320
P41240	Q16827
Q13501	Q16236
Q96AG4	Q9Y478
O43318	P21333
P10644	Q96EZ8
Q9C0K7	Q9Y376
P15172	P40424
P35637	Q8IYB3
P02766	P68104
Q13242	Q14683
P04350	Q8WVB3
P33151	P35222
O15230	Q9UKX5
P29466	P55210
P14678	Q14204
O14497	Q8TAQ2
P35626	Q9UKL2
O75832	P62807
P63279	Q9Y620
Q9BZL6	Q9Y3R0
Q99880	Q9BY41
O00303	O75822
Q9NX02	Q9UNN5
Q7L0Q8	Q96QB1
P10914	P52292
P04183	P50224
P0CAP2	P62424
P01106	P12318
P07900	Q6WCQ1
Q00987	Q8WWW0
O75928	Q99607
P43246	Q16637
P35372	P43250
Q13315	Q562F6
P00441	P51571
P36894	Q15759
Q12933	Q9UKG1
P30153	Q9GZV5
P13942	Q13797
Q13163	Q9Y5S2
O75578	Q08043
O15055	Q99743
P35498	P62879
Q92796	Q9Y2T3
Q13573	Q16625
P15336	P36873
P78347	Q9Y2Q3
P62879	Q92806
P50402	Q7L5N1
O95251	Q13315
P62875	Q15560
P09651	Q01081
P36873	Q9NP77
P35222	Q14192
Q12873	Q13227
Q15029	Q15427
P12931	Q9ULH1
P07199	P49454
P24522	Q12778
Q12933	Q8N5R6
P36873	Q9UD71
Q96Q15	Q9H0W8
O00161	Q9UKI8
Q13571	Q9Y5J3
O00253	P54619
P35354	P58012
P02814	Q8TAX7
Q13546	Q86XR7
Q09472	Q99081
P31751	Q16543
Q13131	Q86TI0
P04439	P43631
P32121	Q8NHC4
P19838	P32881
P01909	Q5UIP0
P11279	Q92542
P25786	Q9P2G9
O60925	P56182
P41182	Q9HBW0
P08246	Q92802
P05412	Q9Y616
Q06124	Q13480
P16989	Q99558
O95402	Q96HR3
P07202	P08887
Q8IY92	Q96NY9
P18206	P42768
Q86YW9	Q9Y2X0
P62258	Q14257
P22460	P35609
P05129	Q8TD31
Q12933	Q9NQC7
P19387	Q8WX92
P98170	Q6GPH4
Q15797	Q9Y3E7
Q99650	Q9NPF7
P18146	P27361
P14927	P43358
P49207	P63173
O75716	Q96RG2
P21860	Q8IZW8
P28335	Q13698
A6NMZ7	P17301
P01241	Q08334
O15530	P08575
Q6UXN9	Q99877
P52948	Q8N1F7
O14980	Q08211
P21333	P62736
P16104	P47897
P19388	Q8N7H5
P62877	P84022
P47992	P51679
Q5VTD9	Q9ULT6
P01589	P40225
P21980	Q96KM6
P26599	P84103
P11171	Q96QB1
Q13315	Q9UJA5
Q13363	Q13547
Q15046	Q92844
P62487	Q8IY92
Q9GZQ8	Q9Y605
P29317	Q9HCT0
Q14676	Q9NYB0
Q9NX14	Q9UI09
P51149	Q15904
P43364	Q7Z614
P21246	P56182
Q6IA69	Q96JP2
O14786	P49763
O00329	P08581
Q08209	Q13255
O60674	Q13651
P62826	Q9UI26
P51946	Q96JH8
Q92843	Q96PG8
P08246	P10145
P01106	Q92947
Q06124	Q99683
P32456	P50453
Q8N163	Q9P1U1
Q05519	Q9UHX1
P18505	P60520
O95425	Q13315
Q12933	Q9NVZ3
O96017	Q15435
P49903	Q9UKR5
O00453	Q7L622
P27986	Q15019
P06899	Q16594
Q9BS18	Q9UNH5
P28074	Q96BK5
O75964	P01889
Q15796	Q9NQB0
P12830	Q01484
P35222	Q99623
P10914	Q9HB58
P19105	P53355
P61960	Q96JB5
P08047	P60484
O95343	Q92570
P47929	Q13315
O00305	Q00005
406908	P04150
P16333	P32239
Q13131	Q9Y478
O60237	P14649
P15927	Q13472
O15111	Q12778
P61812	Q04771
P62241	P62979
P05556	P35442
P33032	Q8TCY5
P30153	Q00005
P43897	P63104
P60709	Q9HBI1
O43677	O95169
O75821	O75822
O15524	P24394
P78545	Q9NXV2
P08648	P49746
Q9NWA0	Q9UBN7
Q93062	Q9BTL3
Q13813	Q9Y5U2
C9JDP6	O95832
P58546	Q6XUX3
P31749	Q13370
Q15596	Q92831
Q14469	Q70Z53
P36578	P83881
P42766	P46776
Q13535	Q9UHY8
P62993	Q13322
O60238	Q8NBE8
Q04864	Q07021
O14640	P67870
Q96I34	Q9NRX4
P20226	Q13765
P54727	Q16531
Q13315	Q86YH2
P15622	P49910
A8MTJ3	Q9NYW6
Q8NHZ8	Q9H1A4
Q13561	Q96G01
P62829	Q9Y3U8
P24394	Q9UHD0
P32121	Q8NH90
Q13137	Q8N2W9
P04350	Q01101
Q6P3W7	Q99459
Q12905	Q13535
P32927	P60568
O75592	P49815
P67775	Q16539
P63096	Q92569
P62888	P63173
Q96HR3	Q9NX70
O15230	P06756
P35626	Q8NGI3
P05386	Q9H840
Q15796	Q969K4
O95819	P09651
P13987	P21926
O95810	Q969G5
P35225	Q9HC73
O15042	P98175
Q8WXC3	Q9ULZ3
P07949	Q9H201
P43246	P61244
P46940	Q04695
O14777	P51955
P00519	P49023
P08620	P10721
P62263	P62273
P24941	Q9UJX6
P08581	P26045
P09651	Q07955
P07910	P62993
O14936	Q14155
P78556	Q15311
Q14204	Q9H4B7
P53779	Q96J02
P47224	Q9BVJ6
O43251	Q9H0E2
P60602	Q13546
Q96FA3	Q99836
P38484	P50591
P26641	P48039
P16144	P54253
P14649	P62140
P22694	Q16558
P38405	Q8NGT7
O15069	P13805
P00797	Q96SI1
P43243	Q9Y6E0
Q9NX24	Q9Y4K3
P19838	Q9NYJ8
O43791	Q7Z7J5
P29353	P62316
406952	P40763
A4D1P6	Q9UNK0
O00168	P50993
O15355	Q15418
P62195	Q13200
P55072	P78527
O00483	Q16795
406952	Q01196
P46092	Q6ZVL6
O96019	P41279
P22455	Q9GZV9
P12004	P45983
P25963	P55072
P02533	Q00005
P05106	Q9UBP9
Q13535	Q92804
P29353	Q13526
P98095	Q8N8S7
Q12933	Q8N5C8
P15976	Q16659
P04275	P26012
P17612	Q09472
Q16206	Q8TC92
P49757	Q9UM47
Q03111	Q9UHB7
O75385	Q13131
O76061	P55001
Q04637	Q9UL03
Q13526	Q9Y2V2
P52789	Q9NRR5
P08908	P16520
P24522	Q8TDZ2
O75419	Q9BRT9
P27986	P36888
Q13625	Q9BYC9
Q5VVX9	Q8N5U6
P00533	P12034
O14964	P40939
P08620	P09619
P02760	P41235
Q96M83	Q9UBU7
P61586	Q07889
P10721	Q01970
Q9H0E9	Q9H2F5
P29622	Q9NRH1
P19419	Q07889
Q00653	Q92734
P68104	Q14761
O00571	Q09161
P55795	Q16629
O14543	Q14626
P50402	Q9ULX6
P40189	P60568
O96000	Q8IWF7
Q02750	Q96S96
P09382	P18206
P27986	P43403
P05155	P16109
P52732	Q13573
P62314	Q9NWA0
O75914	P62745
P36896	Q13705
P01106	P42679
P49841	P53805
P24522	Q9UHY1
P32121	Q8NGX8
O95777	Q9NPI6
C9J798	P01111
O00327	Q8IUM7
P13984	Q13315
P01106	Q6PI48
Q04760	Q14164
P06899	P51965
Q01844	Q96D59
O00401	O15144
P51681	P63167
P01137	P45983
P16383	Q9Y490
P17861	P22694
Q13315	Q92945
P41182	Q9ULU4
P42768	Q92729
P62714	Q99832
Q16611	Q96JQ0
Q03014	Q92908
P01569	P52333
Q13188	Q9H814
Q01081	Q15287
P53680	Q9UKW4
P04004	P23229
P32969	P49366
P00533	Q13239
P07910	Q00839
P06239	P08637
Q8N6Y0	Q9NTK1
P28482	Q05397
Q96IF1	Q9H4B6
Q8NE35	Q9UIV1
Q8N392	Q96L33
O75448	Q9NX70
P08670	Q9BVJ6
P55157	Q9UIF9
P78352	P98164
P08648	P49747
P11831	Q8N2W9
P30273	P48736
O15534	Q9Y297
P46937	Q13315
O95484	O95832
P15153	Q96QB1
P58876	Q15291
Q13563	Q6VY07
P20366	P27487
P01303	Q12884
Q9Y5M8	Q9Y6J8
P36873	Q15435
O75197	O94907
Q5VTD9	Q7Z7M0
P19012	Q96HB5
P08151	Q13627
P11171	P48047
P05556	P26006
P34969	P50151
P31749	P38936
Q99741	Q9UBD5
P04637	Q13043
O75052	Q9Y272
114614	P17947
P25942	Q16548
P10599	P63104
P20936	Q96QB1
P12931	P63244
P00813	Q01094
Q12873	Q13263
Q10588	Q13976
O75056	P21246
P30559	Q02641
P20671	P58876
406911	Q16611
P10275	P20815
O15111	O43524
O43189	Q9NVV9
B1A4H9	P26992
Q8N8B7	Q9Y2I6
Q04917	Q8N122
O14950	P60660
P20702	Q8TAK5
O00186	P18146
O15379	Q06330
P62877	Q9UK73
Q92997	Q9ULW2
Q8N357	Q9GZW8
P07996	P18564
Q8NEM7	Q9H0E3
P56545	Q16656
P04406	P06493
O43491	P27348
O95379	Q14315
O43147	Q9NRX1
P04141	P17181
Q99665	Q9P0W0
P02647	P02656
P10275	Q02790
Q13573	Q9UKL0
P05388	Q92901
P04264	Q15759
A8MVU1	P67870
P35626	Q8NGT1
Q8N720	Q9BQ66
P02545	P17252
O95793	Q02878
Q15418	Q92934
O60869	P20226
O14920	Q9UBT7
Q14164	Q15785
P05412	P15172
Q06830	Q16186
P17931	P23511
O43390	Q15366
P19525	Q00978
Q13163	Q13164
P51817	Q07699
P51617	Q13148
O00327	Q16526
O95218	Q13315
P04406	P27540
Q03135	Q05397
Q96A08	Q9UBN7
P62258	Q13671
P23458	Q8N6P7
P02768	P13645
P18084	P41231
P50151	P62873
P07288	Q9H334
P27361	Q13873
P05496	P24539
Q9UBM7	Q9UKV8
Q9UNM6	Q9Y5K5
P52630	Q8N2W9
P28482	Q13557
O95073	O95400
P51828	P63215
Q13485	Q99466
P01889	P30084
O14827	P27482
P61981	Q15276
P62191	Q16401
O15297	P46777
P01106	Q7L099
Q02641	Q06190
P21860	P42566
Q14833	Q9P2W3
O15392	Q14457
P25391	Q7L0J3
P62837	Q14258
O60266	Q9NZT1
Q13114	Q14164
P51665	P60900
Q14164	Q9Y265
P36578	P63173
O75438	Q16718
P04049	P05783
P63261	Q07889
P40225	Q8N6P7
P47914	P61313
O95822	Q13131
P12004	P30281
Q07889	Q9H0H5
O76039	P55157
P01106	P67775
P15153	Q92556
Q13535	Q8TAQ2
P07900	Q12809
P30281	P42772
O75051	P07332
P46937	P49792
P57775	Q13616
P84022	Q8N2W9
P42771	Q7Z6Z7
P46734	Q9BQI3
P23508	Q9UL25
P02671	P02768
P13637	Q9Y3U8
P34741	P35241
P01106	Q9NYF8
P20073	P25054
O75909	Q8TAP6
P62330	Q92945
P48634	Q07021
O95067	P30260
P06400	Q96GD4
P49916	Q9UNE7
P16298	Q8NHZ8
P17252	Q12802
P24385	P42772
P42226	P49715
P55072	Q96CS3
P13725	P24394
Q15834	Q9BVJ6
P09601	P31483
P49917	Q13315
P16671	P37231
P41279	P45985
Q6WCQ1	Q9BQI0
O95167	O95169
442895	P03372
O75030	P63279
P11047	P26006
P00451	P27824
O95819	P04406
O95084	P34896
P60953	Q86Y07
P12236	P45880
P57678	Q00653
Q01668	Q13362
O00231	Q16401
P20073	Q5T3J3
P12004	P52701
O00401	P08238
P12931	P51813
O15379	P29590
Q01151	Q15717
Q05193	Q8WXK3
P62424	Q07020
P62834	Q8WYR1
P36873	Q92736
P01889	Q07444
P27361	Q9Y603
P09936	P23508
P63211	Q01668
P61077	Q14139
P35372	P50150
Q9NSB8	Q9NSC5
P06241	P23469
P78537	Q6QNY0
494327	O75896
P28702	Q09472
P04637	Q9UQR1
P56704	Q9Y5W5
Q14164	Q9NR31
P48730	Q16526
P51617	Q13114
P40933	Q14626
Q9H4I2	Q9Y6X8
A0JLT2	Q9H944
P05113	P15260
P40429	P62750
Q7Z408	Q9H2G2
P10145	Q01085
P07384	P15311
P01106	P17987
P54253	Q99684
Q5VTD9	Q9P2E2
P17181	Q9HBE4
A6NHL2	O43237
P08138	Q9NSA1
P56705	Q9H1J7
O14641	P63000
P21802	Q01094
Q9BQQ3	Q9BZL6
P32121	Q8NGL6
P06213	Q92914
P12980	Q15700
Q14653	Q15796
P57678	Q9UKV8
P24928	Q9NX70
O14939	P23528
P10767	Q07890
O43809	Q92845
P25025	P61981
P61247	Q13268
P04626	Q92625
O75582	P51817
P01100	P06400
Q13976	Q99941
O60674	P78324
O14519	P04745
O75400	Q8TAD8
P19438	P42224
O43353	Q13489
P62256	Q9NXI6
Q8N7W2	Q92530
P36897	Q00532
O14641	P04637
O43572	P10644
Q92698	Q9UER7
P31269	Q15654
P06493	Q12888
Q5JVL4	Q8IYF3
P55055	Q9UKR5
406885	Q9H9Z2
406948	P19544
Q71SY5	Q9NX70
P43364	Q9Y6M9
Q05513	Q9P212
P12236	P21796
P29372	P54725
P62306	Q15428
Q15645	Q86YR5
Q16584	Q92905
P16871	P30101
P23497	Q9UKL3
Q13885	Q9NPQ8
O60341	Q9P0W2
Q04323	Q9HCE7
P42766	P62906
Q13573	Q14974
P62714	Q14738
P35227	Q96LR5
O15525	Q16621
P00533	P23229
P12110	P18564
O95837	Q13573
P30457	Q93084
O00463	Q13489
O75674	P00533
Q13155	Q9Y2F5
P05412	P49913
Q6QNY0	Q96EV8
Q13315	Q92794
P08908	P09471
P54259	Q09013
O95786	Q96EQ8
P06241	Q92918
P01106	Q13526
P04745	Q4L180
P01569	P38484
O14544	Q08334
P20339	Q9P2R3
P08172	P62873
P61956	Q96HD1
Q04206	Q13526
P62330	Q8NC51
P61026	Q9Y4K3
O43660	Q13573
P28702	Q6P2C8
P06241	Q14767
P38405	Q8NGF6
P15927	P49736
406885	P05231
O43541	Q9HCE7
P08253	Q99075
P68104	Q9HAV4
P13498	P19878
P29350	P51692
P05305	P46379
O14508	P38484
P19838	Q13547
O95602	Q9UL18
P01889	Q9UL25
P02545	Q71DI3
P11171	P61006
P46777	P62917
P07306	Q96G23
P21246	Q9UM73
Q9H074	Q9H361
O96006	Q9GZT8
Q13620	Q86VP6
Q14192	Q9UHR5
P61586	Q9P107
O60443	Q99459
O00294	P06241
A1A4S6	Q92730
P02458	P09486
A6NLW9	P32121
P12004	Q01094
P78362	Q8WVK2
P05026	Q13237
P02647	Q07343
O95907	Q9UBS3
P17252	Q9H0R8
O75448	P10827
P58511	Q9HC24
Q07890	Q13546
P55957	Q92843
Q00987	Q5VVX9
P15391	P20023
P27986	P36542
P49910	Q9BQ66
O14610	P27986
P00533	Q9H0H5
P18146	Q5UIP0
Q06609	Q96EY1
P40429	Q9Y3U8
P18146	P32456
P11171	Q15369
Q16637	Q9BRK5
P16220	Q9NPA2
Q9NP73	Q9P2R6
O60262	P14416
Q15366	Q99459
P00973	P10914
O43678	P56556
P05387	P26373
O60739	O75821
P29274	P43490
P30559	Q13936
Q9BTE0	Q9Y383
P46939	Q14118
O14933	P14373
Q8N392	Q99547
P01116	Q14644
P24522	Q12873
P08620	P21802
P61978	Q93062
P62917	Q01094
Q9BUV8	Q9H223
P19387	P19388
P01100	P19784
P23396	P62280
P16144	Q17RW2
O75326	P16333
O75688	P07355
O60739	P63279
Q96B97	Q9NR46
P63104	Q15208
Q14186	Q16254
Q14653	Q9UHD2
O14744	Q92561
O14640	Q13153
P32246	Q16663
P03897	Q9UI09
P51784	Q9BXW4
P07737	P63261
P11021	Q86UA6
Q15796	Q9NZJ7
P10809	P17152
Q01094	Q96KJ9
P01106	P56192
Q01844	Q6PJW8
P15311	Q13158
P51116	Q06787
Q53TQ3	Q9C086
Q9H1Y0	Q9Y6Q1
P04234	Q13422
P59768	Q08828
O00165	O00303
407006	Q9NX09
P05129	Q00722
P17275	Q16539
P13569	Q9Y6I7
P40763	P53779
Q15796	Q92905
P17980	Q9UL46
P63098	Q96LZ3
P68104	Q93045
P10721	Q9UQQ2
P00533	Q4KWH8
P46100	Q96KM6
Q02750	Q96RU7
O00459	P05026
P62140	Q7Z2W7
O75477	P30086
P19525	Q9BZE4
P51684	Q16627
Q0VG06	Q9NW38
Q13485	Q8WUD1
Q9BUZ4	Q9HAU4
P53778	Q9NZJ5
P12273	Q9UHQ7
P15170	Q96CA5
P38405	Q8NGZ5
Q04206	Q07869
P08123	P08651
Q13098	Q9H9Q2
P15927	Q5UIP0
O95219	P16234
P15170	Q13490
P46092	Q8NHW4
Q9NY47	Q9Y2T4
P62805	Q15596
P40763	Q9H9S0
P16104	Q9UBU8
P08107	P50502
P09874	P16104
Q8WV28	Q9Y5K6
P05013	P26992
P18206	Q15654
P15260	P19838
P62316	Q9UJM3
P62508	Q9UBK2
P12931	Q9UQC2
P17948	P31371
P54253	Q8IWR1
P05388	P35268
P62987	Q07812
P22612	Q12791
P01106	P55060
P19419	P53779
P32881	Q9HC73
Q08170	Q13243
O14777	Q9Y3C0
O15444	P25024
O15230	Q7L0J3
P12931	Q92845
P01876	Q8WWK9
Q71F56	Q9BWU1
P42229	P43365
P00533	P04085
P62993	Q9Y2W1
O75569	P19525
Q13315	Q9NS23
P49841	Q9Y297
O14576	P04350
P02452	P07237
Q13191	Q99962
Q99878	Q9BY41
P51532	Q68CP9
P49356	Q12974
P22681	P62258
O60674	P42336
