#node1	node2
P09237	Q9HCS4
Q07020	Q9UQ80
Q14653	Q8NEV9
Q8NHQ8	Q8TEW0
P05556	Q63HR2
P04275	P18084
P11802	Q16543
P01889	P51148
P17936	Q12789
P18509	P27487
Q15008	Q9H8Y8
P08238	P41279
P20333	Q9P035
O15551	O95049
P32121	Q9H422
Q66LE6	Q8IX90
P49841	Q9NQW7
O00141	Q9Y534
O95249	Q08554
P55055	Q15596
Q86X95	Q9UBG7
Q70Z53	Q86VF5
Q15428	Q92733
O60884	P62993
P10721	P51692
Q6ZRS2	Q9NPF5
O76081	Q93045
P30291	P46108
P61981	Q9UI47
P22612	P50993
P03372	P06401
P04792	Q15008
P16989	P69892
P30679	Q13255
P11161	P13686
Q09472	Q86Y01
O00571	Q7Z6M2
P17931	P55211
P01111	Q8N9B8
P10636	Q9HBG4
P52294	Q16695
P18564	P35442
O14610	P41586
Q00610	Q676U5
A5D8V6	Q9UGN5
P40337	Q9HAV7
Q16891	Q9H1I8
P08047	P98161
O95139	Q9Y6M9
Q71SY5	Q9BTT4
P06400	Q66K89
P04908	Q92769
O75030	Q9Y6X2
P11474	P62195
P62158	Q96LZ3
P10244	Q16254
P19838	Q16663
P15144	P31947
P42261	Q13555
P21246	Q6P1K2
P26441	Q13651
Q13114	Q13489
P06241	Q9UMN6
O14807	Q13009
Q99459	Q9UI10
P29317	Q9NP95
P61586	Q92888
P09919	P42702
P48643	Q99759
P25205	Q99459
P13995	P23508
Q8IZJ1	Q92859
P13569	P51790
P18621	P62987
Q5VTR2	Q99627
Q14152	Q14240
Q12959	Q9ULH1
P30447	P30450
Q99459	Q9BWF3
P56545	Q13315
O15155	P53618
P30154	Q13573
P14778	P18510
P54252	Q15418
P08754	P45984
P56945	Q13797
Q9GZN1	Q9Y265
P63000	Q8N1I0
P40189	Q13007
O60684	P32119
Q02952	Q13315
P05783	P53680
P26951	Q13007
Q13191	Q14155
P52333	Q99062
O15162	P03973
P51965	Q96GF1
O00429	Q9NTG7
O60674	Q15825
Q93098	Q9UP38
O60262	O60503
P15336	Q8WYK2
P06400	Q8WTS6
Q14896	Q9HAU4
P08729	P13647
O95816	Q12809
O75528	Q96BN2
Q08881	Q09472
O15162	Q9NZV1
Q9UHF1	Q9Y4K0
P63000	Q15080
O75365	Q5VYK3
P01570	Q14627
P18848	Q9UK32
P52735	Q06124
O43187	Q9C0D7
P18827	P49747
P35626	P46094
O00212	Q9UNA1
P42224	P43405
O14980	O94776
P10276	Q16659
P02776	P51677
P25067	P62805
O95400	P51991
P41221	Q9NPG1
P24864	Q9Y468
P62136	Q13547
Q12988	Q96DV4
P40238	Q9GZX6
P16402	P45973
P16104	Q8NCW5
Q13480	Q92529
P48643	Q99459
P27361	P29353
P32418	Q01484
Q13315	Q9BWJ5
O75251	Q9Y6M9
P16144	P17301
P16152	P38646
O75400	Q8N3X1
O43187	Q6SZW1
Q6P4R8	Q9Y230
P35558	Q13131
Q15427	Q15637
Q08170	Q13242
Q01850	Q15014
P11171	P20618
O60353	Q8N474
P53778	Q05397
P32302	P43250
P48357	Q96RR4
P51677	Q99616
O95819	Q5JTH9
O75528	Q9BRQ0
P62955	P67775
O14654	Q8WYR1
P14784	P42338
P62993	Q13045
A6NIT4	Q5VWK5
Q15750	Q99558
P28482	Q07890
O43298	P49407
P17081	Q8NF50
P43487	Q14164
P19875	P46094
O00401	P16333
P06213	Q9NQ66
P62807	Q6UXN9
O75691	Q5T8A7
O75694	Q5SRE5
P02647	Q92484
P01871	Q92890
Q15796	Q9Y3F4
P63104	Q12912
Q99683	Q9Y243
O43639	P21860
P60953	Q92993
P35398	Q15788
O14640	Q9NYF0
P21980	P51178
P05109	Q5UIP0
P42768	Q9Y5X1
P04183	Q12840
P68431	Q9NQ92
O60861	P23246
P27816	P49841
P35626	Q8NGG5
P60953	Q96N67
P78527	Q9NUW8
P42772	P43364
O43865	Q8IY92
Q16254	Q92698
P35222	P42167
P36507	Q07889
Q04759	Q86YW0
P08107	Q9NYB0
O75815	P04626
Q16777	Q8N257
O00233	P62333
P10144	Q10586
P62136	P62955
O95757	Q15750
P62258	Q16543
Q52LW3	Q8IXI1
Q13137	Q9H492
P05305	P35318
P26718	Q8TD07
P55036	Q13501
P06400	Q92925
O00144	Q00722
P09382	P63104
P50570	Q9Y4P8
Q07812	Q13794
O60610	Q13563
Q8IVA1	Q8WW01
Q9BTT4	Q9ULK4
O60885	Q9UHY7
A8K8P3	Q99459
P13224	P48736
P16070	Q13009
P18206	Q9UI47
O15375	P18206
P17844	P19174
Q9NRX3	Q9UKR5
P17947	P25942
Q13315	Q9H0H0
P51681	Q15583
O43929	Q99741
P51686	Q9Y258
P33240	Q9UKR5
P10275	P49023
P08138	Q9HBG4
O00459	P62745
Q00975	Q9UK08
P08637	P43405
P0C7T5	Q9Y618
O60674	P51679
O43491	P35462
P56537	Q92839
P38398	Q14676
O75582	Q96BV0
O95445	Q9BTY7
P62854	P62979
P31995	Q9H2G2
P52272	P52756
P63104	Q13698
Q01081	Q96SB4
P28072	Q9Y4K3
O43674	O75251
P51159	Q8IYJ3
P01568	P48357
P40238	Q8WWM7
P42345	P62942
P04156	P62380
P51587	P62993
P99999	Q14164
Q8N2Z9	Q9BTP7
O15144	Q92558
Q07869	Q15648
P30305	Q15323
P01106	Q96K12
P0C5Y9	Q969S8
P83916	Q02539
Q13163	Q9Y2U5
P00533	Q9Y4K3
P28482	Q9UQC2
O43292	P60228
P98082	Q14689
Q04759	Q8IV61
O95997	Q9UJX4
P30480	Q7KZF4
Q8TEB7	Q9NPD8
O95166	Q9H492
O43610	Q07889
P17987	Q9Y2T4
Q13315	Q8ND56
Q96DU9	Q9NY30
P01350	P32239
P23434	Q8WYH8
O15534	Q16665
P08476	Q96S42
P41743	P62993
P05106	P07942
P46108	Q9Y2J2
P30511	Q14952
P29992	Q9NS75
P29597	P31785
P25024	P25025
Q13151	Q15287
Q13064	Q99816
O95298	P56556
P53778	Q9Y2T4
P18077	P62899
P12004	Q9UET6
P27708	Q13546
O75438	O95167
P05161	Q14653
P02545	Q16512
P18146	Q03181
P19174	P42338
P54132	Q06609
P09651	P26368
Q8IUQ4	Q8NHQ8
P08670	Q13426
Q14134	Q96JP2
P36897	Q15796
P11137	Q9P0L2
O95831	Q15628
P35626	Q9H209
P19525	Q96CT7
Q13315	Q92993
P18206	Q9Y4G6
P35372	Q9UK08
O15259	O75369
P42331	Q92730
O00501	Q8N6F1
P02751	P06756
P08631	P10721
Q6IE81	Q92599
P33316	Q96BK5
Q9UJX3	Q9UJX5
O94817	Q9HC36
P06729	P19256
P38405	Q8NH16
P19012	P25054
P52198	Q8N392
O00220	P01730
O60739	P62899
P18146	Q06136
O00487	P61289
O43172	Q9Y333
407003	Q13555
O43306	P51817
P84022	Q9UBH0
O14641	P49815
O75015	Q8N149
P01876	P0CG04
P57729	Q13485
P26992	Q8IU54
P62837	Q86XR8
P68431	Q15291
O15111	O75688
P15153	Q9BYG5
P82279	Q9UNM6
Q5SRE5	Q8NFH5
P42574	Q04637
P19235	P23467
O75023	P43405
Q13573	Q96NB3
Q8WV41	Q9Y5X1
Q9H3U1	Q9Y2Q3
Q15393	Q8NAF0
P05556	Q15139
P01567	Q9HBE5
Q7L0Q8	Q9NZN5
P06576	Q14451
Q13573	Q96GM5
O14965	P35222
P33993	Q13535
P21554	Q9UK08
P46779	P61254
P12931	Q9Y2X7
Q9UBY9	Q9UJY1
Q13535	Q6KC79
P15172	P35398
Q13618	Q693B1
P35609	P53708
P01889	Q14657
P30542	Q99832
Q8TAQ2	Q99759
P84996	Q9P2W3
P00451	P18135
P01889	P22309
P56537	Q9HB71
Q7L5N1	Q9BT78
P51970	Q9P0J0
P24864	P49959
P20160	P21281
P02768	Q9NZJ4
Q13526	Q8IY92
P84022	Q9HCK8
O60739	P55884
P07942	P08648
Q9P289	Q9Y376
P08151	P49841
P35609	Q13352
P46013	Q13185
P11362	P21860
Q92569	Q9NSB8
P29992	P30556
O15372	O75821
P12004	Q9UIF7
O14807	Q13671
P07910	P38159
P63261	Q9BPX5
Q14695	Q8N357
O75489	Q9Y375
P17931	P30049
P08581	Q92835
P29372	P43487
O14641	Q96CG3
Q96LR5	Q99942
P04899	P46094
O60216	Q13573
P01033	P24534
P0CG48	Q9UGP5
P46013	Q9BYG3
Q13315	Q14004
Q92993	Q99832
P36915	Q99935
P01106	Q9NUN5
P30154	Q13936
P20336	Q96C24
Q04771	Q16671
Q9BRX2	Q9P035
O75771	Q06609
P02768	Q9Y6Q9
P17948	Q92529
P10721	P12034
406887	P01112
P14672	P48736
P05129	Q8TAA9
O00255	P09630
O00212	Q13177
O14764	P60520
P52630	Q9Y2T4
O75694	P11802
P24522	Q8IWY9
P31995	Q15788
P20248	P46527
P62070	Q13972
P05231	P48551
Q86X83	Q8N668
Q9NQX6	Q9UDV6
P18084	Q08043
O00198	Q07021
P21554	P61952
Q13151	Q9BUJ2
Q9H2G2	Q9UQ26
P35813	Q9BS40
P11171	Q9HB71
P01241	P78552
P07900	P53041
P40189	Q9HBE4
P49917	Q7Z2E3
P16118	Q01094
P62879	P63096
O95990	Q9BUH8
P10809	P62993
Q06546	Q14005
Q08116	Q9BVJ6
P52788	Q13387
P38432	Q9NR22
O60266	Q13237
Q12824	Q9GZQ8
P32121	Q8NHB7
P55795	Q86V81
P01106	P55036
O95471	Q96AP7
O00193	Q9NV58
P19532	P35244
P68104	Q15583
O00459	P40189
P27361	P54710
406937	P08729
P18146	P54219
Q13315	Q9NZ56
P03905	Q9Y6M9
P01127	P17948
Q9NRL3	Q9Y6K8
O15198	Q13950
P25490	Q9Y5K5
O75582	Q12824
P06734	Q06330
P55957	Q9UKY1
P31947	Q9UPU9
P62714	P78396
406909	P49715
P20138	P46109
O75381	Q8TAQ2
P34931	Q13217
P62158	Q9HD67
Q6WCQ1	Q9Y230
P13928	P68133
P13984	Q00403
P35225	P40189
P30504	Q15365
P09603	P10721
P60953	Q9GZM8
P78537	Q9H8E8
Q9NRC8	Q9Y5V3
P05388	P62910
P63261	Q02156
P49207	P62987
P06241	P06493
P35916	Q6S5L8
O00463	Q7Z434
P41134	P62834
P62826	Q9UIA9
P63165	Q14164
P24394	Q8IZJ0
P31942	P50995
P32121	Q8NGF6
P23458	Q99650
Q15047	Q9UN74
O95167	P03905
Q06124	Q13241
O15530	Q9H307
P17612	Q03060
Q96FE5	Q9BZR6
Q9NR12	Q9UI14
P35626	Q8NGL1
P19174	Q13480
P56705	Q9UEF7
O14512	P42229
O15264	Q66LE6
Q01081	Q15365
P02768	Q15714
P05109	P19878
P22681	P29353
P40238	Q9NYY1
P42771	Q96CS2
Q15796	Q9H6Z4
Q15459	Q9Y478
P19838	P29460
P27482	Q08462
P62875	Q9GZS3
P33316	Q03181
P02768	Q9Y2E8
P53778	Q13469
P41227	P51116
P02776	P25024
P62837	P62987
P02452	P16070
Q6FI13	Q7Z2G1
Q15843	Q9BT78
P12532	P63104
P04183	P51805
P06756	P18084
O43474	P08047
P48544	P63211
O15372	Q9Y478
P63208	Q9NQR1
P40337	Q9Y3D9
Q04637	Q9Y478
Q13156	Q96E14
A1A4S6	P63261
Q13315	Q4LE39
Q5JTZ9	Q96KG7
Q13616	Q7L5N1
O14980	Q5TAQ9
O14920	P41279
Q16637	Q6UXH1
O14531	Q13315
P62993	Q92966
O60238	Q12982
P29460	P48357
P06850	P34998
O75643	Q9UL18
P26951	Q92569
P10276	P30041
P31946	Q9HCG8
P27986	Q9BWW9
P31994	Q6PI73
406982	P10415
O14730	P51571
P04183	Q8IY18
Q06330	Q92769
Q9H0Q3	Q9NPR9
P25786	Q9P0V3
Q15906	Q9NXR8
O95433	P51398
P09326	P29692
P16104	Q9Y678
P24394	Q8IZI9
P62837	Q06587
O76071	P51784
O14980	P62826
O94762	Q9UQF2
O75791	P10747
O60262	P04899
P48549	P63096
P09038	P22455
O75530	Q14209
P27482	Q8IY92
O15264	Q13233
P53778	Q8IW41
P02741	Q00653
Q6PEY2	Q9H4B7
O00212	Q68EM7
O95907	P62820
Q16778	Q7L7L0
P10915	P48436
P04275	P08514
P61224	Q13177
Q13247	Q15427
P04637	Q02880
P18754	Q5T3J3
P23258	Q99996
O43741	Q8N122
P11021	Q92844
O15264	Q8IW41
P29353	P46940
P33778	Q8IUE6
O95197	Q14088
Q13573	Q15459
P45973	Q8IYF1
O15111	P68431
O75694	Q9NRG9
O43566	P05107
Q16760	Q96ID5
Q13137	Q14966
P52198	Q96BY6
Q8N2W9	Q92985
P18146	P22304
Q6VMQ6	Q9UPN3
Q07955	Q15365
P62913	Q13867
O95630	Q9BZP3
O15264	P31995
P05556	P42338
P25963	P33992
P78396	Q13347
Q96KQ4	Q9H3D4
P10275	Q96PM5
P20042	P43146
P31947	Q13315
P15036	P42771
P18077	P62829
P61457	Q9GZT8
P16885	Q9UKW4
P68104	Q9Y6H6
P62714	Q96L34
O00264	P29372
O75586	P57721
O60437	P05787
P18146	P25788
P02776	P49682
O15397	Q8N6H7
P04637	Q8N726
P23511	P53350
O95777	Q96AB3
A6NM45	O95832
P11532	Q14118
P30305	Q8WZA2
O43741	P42345
P03372	P48061
O95631	Q8IZJ1
P30874	Q9UBU3
Q01844	Q03426
P49840	Q8N0Z3
O15344	P61077
P85298	Q7L0Q8
P02768	Q9Y2W1
P26717	P30466
P23945	Q15329
P36873	P49427
P62244	P62993
P07900	Q03113
P25054	Q96S59
Q9BSL1	Q9Y6B2
P18077	Q02543
P20226	Q06587
P05556	P24043
Q05397	Q13813
P02765	Q14289
Q12778	Q8WTS6
P17542	Q9UKL0
P02458	Q9HCN6
Q96A23	Q99417
O95169	P03886
O94782	P0CG47
Q16637	Q9Y4Y9
Q14469	Q96HZ4
Q92730	Q9Y3M8
P62851	P62979
Q13435	Q6P2Q9
Q53H12	Q9HCK5
P82650	Q9UBC1
O60739	Q99873
P56915	P84022
O14645	P42858
P61978	Q13573
P35080	Q96FC9
O15264	Q9Y2T4
P81605	Q13418
O14641	Q8WTU0
P07949	Q07889
P01106	Q99417
P06493	Q5MJ68
P10721	P19174
P02775	P17947
Q00005	Q7Z417
P17252	Q9UBN7
407025	Q01453
P06576	P30049
P10451	P26006
Q6WCQ1	Q9BZL4
P48556	Q9Y5K5
P51532	Q12824
Q00722	Q9NPG1
O43677	O96000
O95602	P17480
Q01094	Q07820
P47914	Q02543
Q8N157	Q9NRG4
P62308	Q969L4
O14775	P04899
P08670	Q15714
O60739	Q6PKG0
O15467	P61073
Q00722	Q9UM73
Q9UBE8	Q9Y4D1
P68431	Q96KQ7
Q92922	Q92925
P17480	Q9H0E9
O43524	P35222
P49368	Q9Y2T4
P54253	Q969T4
P19105	P40337
Q7Z569	Q8IVT5
P01892	P43632
P24278	P38432
O00329	P06239
O43741	P01303
Q9NYJ8	Q9UDY8
407047	P56817
P01106	Q9BZQ8
P29372	Q96AH8
O14775	Q15759
P06748	P10144
P16333	Q13905
P10276	P48681
P06213	Q6S5L8
286828	Q13315
P52943	Q9NPF4
P36578	Q92901
P42226	Q9Y258
P32121	Q96RA2
O00626	P19320
O60885	P46108
Q14241	Q93034
P05106	P17252
O14543	Q93034
O15479	Q13257
P04222	P49915
Q8N163	Q99759
O14641	P63172
Q96RR4	Q9UGJ0
P32246	P48061
P38405	Q8NHB1
Q9GZZ9	Q9NR46
P25963	Q99759
P11308	P17947
Q92831	Q9Y4A5
P21246	P40763
Q12834	Q9BS18
Q00653	Q9Y243
P00533	Q9NP31
P22455	Q9NRA1
O00762	P51668
406988	O15357
Q13185	Q9UPN9
P06753	P84022
O43463	Q14188
Q15149	Q2TAY7
Q13547	Q99879
406991	P43246
P20336	Q8TBN0
P18146	Q00888
P01730	Q29974
P62495	Q99459
P08631	Q9UI08
P48436	P57073
P05026	P58549
P15260	Q9NPF7
Q9NYJ8	Q9Y265
P09651	P61978
P25788	P52948
P13637	P22694
P15924	Q15653
P26006	P49023
P21549	P62258
P30405	P45880
Q9BUV8	Q9Y5L0
P61218	Q8WVC0
P24863	P49336
P42680	Q9H204
P05556	Q01955
Q06455	Q96L14
O75807	P62136
O00418	P17252
Q9HB71	Q9Y4K3
P22626	Q13247
Q14457	Q14687
P05771	Q9UNY4
P49368	Q9Y6X8
P08588	P38405
P01106	P61086
O15145	Q9BY76
Q9H461	Q9Y6F9
O60244	Q9ULK4
P40123	Q01518
O75928	Q9Y2L1
O95139	O95299
P16333	Q8TB24
P51116	Q7Z2V1
P30304	Q16539
P05386	Q02543
P17612	Q16558
Q8N0W4	Q9P2S2
P08069	Q9HAU4
P16949	Q09472
P08779	Q00005
Q13370	Q13555
P63208	Q969U6
P01241	P16871
P36542	Q14197
O95208	Q15303
P35222	P52272
P46779	P61077
Q15797	Q8TAI7
A0JLT2	Q9NVC6
P51668	Q6UVK1
Q13144	Q9UI10
O15524	P29597
P19793	Q92831
P35222	Q00534
P62807	Q9BTM1
P38646	Q99759
Q01094	Q8N726
Q13428	Q8IY92
O76011	P61981
P36873	Q9P2I0
P48059	Q9HCE7
P08631	Q07666
P63279	Q9NSC2
P25116	Q9P2W3
O95400	P52272
Q8IY81	Q9NY93
Q3ZCQ8	Q9Y6X8
P52630	Q8WXH5
P45880	P60709
P05129	P19883
P18124	P26373
Q9Y2B9	Q9Y664
P20138	P29350
Q16659	Q8IW41
O00629	Q00978
Q4KWH8	Q9NRD5
P01106	Q8IXQ3
O43395	Q70Z53
P63096	Q99500
Q8WVM7	Q9BSI4
O95149	Q9UPP5
P51784	Q14781
P62750	Q9UNX3
Q01844	Q9H0M0
O43663	O94972
P98160	Q14118
O75830	Q9UMX0
P12956	P46531
Q13535	Q68CP9
O60840	P36873
O43900	P12931
O15524	P14316
P41235	Q07869
P35227	P51784
P10912	Q9UBD9
Q15003	Q15021
P21281	P21796
O76064	Q9BXI2
Q05086	Q16611
Q969K3	Q969M7
Q02156	Q4KWH8
O00459	Q15303
P04792	P99999
P08107	Q8TF46
P02647	Q7Z333
Q07812	Q9ULZ3
Q15427	Q6P2Q9
Q13573	Q14203
Q9H1A4	Q9UJX2
Q13112	Q9NVP2
P36873	Q6UN15
Q13315	Q13573
Q96GM5	Q9NZS9
O60337	P46379
P21675	P24385
P27694	Q6PCD5
Q96Q15	Q9Y5P8
O75175	Q9NZN8
O43921	P43629
O75676	Q04206
P04216	P06241
P38405	Q8NGN4
P16220	Q9UKR5
P56537	Q16658
Q15834	Q9C0A6
O95998	P17676
P63104	Q8WWI1
P62807	Q7L7L0
O95067	Q9UJX3
Q06547	Q96RK0
Q15643	Q15654
Q8WUM4	Q96CF2
P40763	Q8WXH5
O00299	P62330
P30050	P42766
P0CG47	P10244
P01857	Q8WZ42
O75506	Q9Y3C0
P53671	Q5VT25
P31943	Q13243
O75886	Q15038
Q13111	Q13315
Q8WYQ5	Q9NRR4
O43318	Q8TAM1
Q07912	Q9Y5X1
O43918	Q13263
Q16637	Q9BQ83
P01566	P24394
Q96EP0	Q9BYM8
P08670	Q5T3J3
O60603	P16070
O60739	Q9NQP4
P10914	Q9UI08
O95503	P84243
P01243	Q16658
P83916	Q14739
P35354	Q13547
P23508	Q9Y3D3
P11274	Q00610
Q96NX5	Q9NZT1
P04141	Q04864
P35913	P62873
P27824	P49286
P42773	Q14209
P19174	Q92988
Q13615	Q96B26
O95084	P18146
Q969G3	Q9UPN9
O15265	Q9HBM6
Q14671	Q99459
P62847	P62979
Q07889	Q15811
P42684	Q15788
O00763	Q00005
Q9NYY8	Q9Y4K3
P19474	Q92985
Q8IUQ4	Q96SN8
P35227	Q5VVX9
P56589	Q7Z412
P47813	P62826
Q92956	Q9P003
O14610	P42338
P19838	P67775
P09619	P29353
O60861	Q9Y6W5
P13612	P35609
P16104	Q96HE7
P54253	Q9H4A3
P0CG47	P29353
A0JLT2	Q14978
P49716	Q14766
P23508	P47756
P04183	Q13596
P20333	Q15758
P15170	Q99683
P22301	Q01113
O00267	Q13526
P04141	Q9HC73
O75886	P29597
A7KAX9	O95166
P43364	Q01844
P68400	Q01105
Q14289	Q99683
P62701	Q00005
406903	O43474
Q01955	Q13797
P49768	Q9UQB3
P27361	Q9NRA0
Q13535	Q9P0V9
Q8WV48	Q9NRR5
P61247	Q8IW19
P41235	Q12778
Q10567	Q13315
O43159	Q96EB6
O95405	P36897
P01241	Q01469
P01106	Q9BR61
P13994	P14923
O60573	Q8TF46
Q12788	Q92624
Q15417	Q8IY92
P11362	P49765
P13569	P56470
P08670	Q13233
P05019	Q8WYR1
O75688	Q9Y6K9
P54253	Q9UMN6
P24588	P46940
P00519	P62258
O60281	Q13315
P06576	Q01085
P01892	P43631
O95376	P21246
Q15714	Q96T76
P61587	Q07890
P25205	Q08945
Q12923	Q9HB19
Q12872	Q15287
P63010	Q04771
P25791	Q96KQ7
P00734	Q8TEW0
P60763	Q9NYB9
P60709	Q13573
P18146	P62633
P55081	Q2TAY7
P23921	Q5UIP0
Q8TCU6	Q9UK08
P62879	Q14833
P09936	P0CG48
O60925	Q6ZU52
O96000	Q9UI09
P08754	P40145
P23258	Q9NYZ3
P35609	Q99700
P20809	Q9UHF4
Q99717	Q9HCE7
Q86YR7	Q96KG7
O15131	Q14872
P23526	Q9Y4K3
P00533	P35228
O14610	Q8TCU6
P15336	Q13315
Q13253	Q6KF10
Q13485	Q15118
O75159	P01589
P55789	Q92905
P53708	Q08043
P49023	Q9GZM8
P62829	Q9BRP8
P49450	Q9Y265
P06241	P42338
P83916	Q13315
P05455	P40337
P04899	P25929
Q05655	Q13393
O14640	Q9H461
P01889	P62333
P28482	P84022
P01137	Q9UBG0
P62256	Q9Y508
P25054	Q99618
Q14197	Q96GC5
P34931	P45983
O43521	P28482
P61254	P63173
Q96CS2	Q9H6D7
O43683	P46108
O15379	P29374
P23396	Q9UL18
P43405	Q13393
Q7Z2E3	Q9H2G4
P51991	Q08170
O15265	O43186
O14964	Q99698
P03372	P28065
O95747	Q9HCE7
P67936	Q15654
P14174	Q92956
Q96BK5	Q9BQ39
P08581	P63104
P38405	Q8NGK4
P09327	P12931
Q15834	Q9BVV2
O43639	Q15654
P04183	Q96EN9
O14727	Q07817
O60674	P42226
P00167	P04798
O00626	P46094
P11245	P41227
Q01668	Q13237
P50616	P55795
O15372	Q9NRI5
P12931	Q9Y6Q6
O60244	Q13503
O75581	Q9BXY4
P11940	Q9UHX1
P25025	P52333
Q96LR2	Q9UL45
P59768	Q96PN6
Q00653	Q07020
Q86TM6	Q93009
P13598	P20701
Q13285	Q9NPJ4
O14640	Q15797
O75385	Q13283
407029	Q8NDV7
407048	Q8WY64
P09769	Q92608
Q12996	Q13573
P09769	P27348
P52434	Q9NW08
Q14155	Q92888
Q15759	Q9NYJ8
P25942	P52434
P49888	P68104
51639	Q96BK5
P13631	Q12796
P27986	Q9ULD4
P01889	P13797
P53041	Q13315
P17948	Q05397
O96015	Q96FJ2
P41220	Q9Y2I6
Q8N6T7	Q9UKW6
P61978	Q9P2K5
P01106	P54819
P20936	P52803
P00519	P54274
P16333	Q13285
O95837	P41594
P30450	P43631
O60262	P62873
Q13402	Q495M9
A8MTJ3	P59540
P35749	P63261
P04179	P16871
P47710	Q13315
P16104	Q9Y265
O00159	Q9H251
P61421	Q86Y82
P35247	Q9Y6Y9
P50914	P63173
P31260	P40424
P06400	Q9UBU8
P15153	Q9NZN5
P32121	Q9H210
P30556	Q14344
P63092	Q99614
O43521	Q07820
P12004	P40938
O43293	P40763
P48730	Q04917
P04183	Q71U36
P38484	Q9GZX6
P07910	Q9P0T4
P34969	P63211
Q08945	Q8TD19
Q8IY92	Q9NXF1
P29466	Q309B1
P31751	P56279
P16104	Q14697
P49674	Q9NYF0
P06213	Q9ULV8
P08603	P42224
P00519	Q8TB24
P06746	Q04724
P54652	Q9NYJ8
P00749	P05121
P19784	Q15287
P04155	Q9NYJ8
P55210	Q13489
Q01970	Q13976
Q9H0D6	Q9Y262
Q07817	Q8IV08
O43374	P01111
P08069	Q96B97
P34931	P78380
P01241	Q16740
P07948	Q8WYR1
P43405	Q15349
O15198	Q96FW1
P01106	Q92667
P31153	P62330
P09651	Q9UL18
O75469	P28702
P11802	Q9UJX2
O43734	Q9Y4K3
P0CJ73	P25090
O95886	P62993
407046	P19838
O60403	P32121
Q14511	Q15654
Q13469	Q13555
P61289	Q7Z3B3
Q9H6Y7	Q9Y2X8
P16885	P52735
Q2I0M4	Q9Y6K9
P05113	P48551
P61244	P67870
P61201	Q02556
P62750	P62910
442917	Q9NRM7
P48736	Q9NPH3
P41220	Q13976
P08581	P29353
O75955	P06239
P12757	Q96PU5
P51397	Q15047
P68431	Q13185
P48061	P49238
P38432	Q12800
P28482	P35354
P12270	Q96EE3
P19367	P21796
O00459	P35916
P05129	Q12879
O14647	P63165
P41594	Q08209
O60840	Q9NPA1
O43678	O95169
P62316	Q15428
P50454	Q8N357
Q9NV58	Q9NYL2
O75159	P29597
O94817	Q7Z434
Q13573	Q16576
P00747	P01876
Q13554	Q8NEB9
O14818	P22392
Q99832	Q9Y2T4
P07550	P34947
P43364	Q96DC9
Q8NB16	Q96HS1
P58876	Q9UQL6
P41586	P50148
Q14011	Q15428
P54920	Q14164
P11169	P27540
Q13315	Q5H9F3
P53803	Q9Y250
P40225	Q08334
P04141	Q03060
P39880	Q13535
P51955	Q5FBB7
P26012	Q9UKX5
P38432	Q96EY1
Q8IY92	Q9NSD9
P19387	Q5T3J3
P12980	Q6ZUT1
O14983	P26678
O14641	P49674
P48556	P51665
P23511	Q92624
P46777	P61513
P22455	Q99963
P62328	Q8WWQ8
Q13547	Q16665
P11142	Q9Y6K9
P50150	Q92806
O75925	P04637
O15111	P21580
Q13554	Q13698
O00194	Q03135
P51685	Q16627
O00303	Q969P5
114614	Q13485
P11362	Q12982
P15153	Q8NF50
Q13191	Q99961
Q13315	Q15906
O43524	P08603
Q8WZ74	Q9Y3A3
P30480	Q14444
P04155	Q9NRR5
P33993	Q12905
O43809	Q9NZC7
P04156	P11021
P32121	Q9H208
A6NCV1	P35626
O75326	P00519
Q96RU2	Q9HAW4
Q8TEM1	Q96EE3
P16473	P50148
O96019	P60709
P36873	Q01668
P08047	Q02742
P52735	Q6WCQ1
P32248	Q9UBD3
P10644	Q14192
P41220	Q15717
Q15287	Q9H7D7
P04628	Q9H237
P49716	Q8N9C0
P35222	Q8WVC0
P0CG48	P62979
P19429	P63316
P16885	Q16288
Q01970	Q8TEW0
Q14683	Q8NDV3
P60880	Q9Y3C0
P26010	Q14031
Q92905	Q9NZQ3
P01574	P78552
P17693	P26715
O60383	Q9H0Q3
P03372	Q15796
P17612	Q01668
O14965	P30305
O43187	Q9H0E2
P41594	P63092
P42338	P54709
P38398	P52294
O00231	P54257
P07949	P56159
O00487	Q9UL46
Q13291	Q92835
O00292	P01137
P40227	P67775
P50993	Q13237
Q8IWZ8	Q96I25
P60510	Q9NY27
Q9HCK5	Q9UJS0
O75159	P38484
O14744	P16581
O00459	P63104
P40337	Q01469
Q06190	Q8IZS8
Q03001	Q8TDR0
P63096	Q3MJ16
P23528	P61981
O15264	Q96RP9
P20265	P35222
P02775	Q86TA1
P49841	Q12873
Q08209	Q14318
P84090	Q9NPH0
O15467	P46092
O15264	P04075
P08700	Q5VWK5
P20827	P21709
P27037	Q04771
O60216	O95347
P63165	Q06609
Q13547	Q9UBG7
Q9BW83	Q9Y547
P51114	Q8N8V2
Q00597	Q9BTP7
O14678	O43261
O75832	Q06323
P49918	Q13309
P07355	Q9UKE5
P84022	Q15329
P23508	P39656
P21802	Q9HAU4
P31751	Q00653
Q92797	Q9Y2Q3
Q9H0E9	Q9UBU8
P08195	Q92536
Q13535	Q8N680
P10809	P15104
P07711	Q6UXH1
P0CG48	Q9Y3C5
P04899	P49798
O75925	P46937
