#node1	node2
Q15811	Q8TAQ2
P30480	P52907
Q15154	Q8WYH8
P01241	P55786
P16104	Q99877
Q14451	Q5SQ64
O43809	P18206
P12980	P43146
P48556	P62330
O94819	P12980
O75175	P50616
P53672	Q9P1Z2
O43889	Q9NS37
O15297	Q6RW13
O00329	P22455
P49755	Q92542
O43261	Q04724
P62899	P83731
Q8TEX9	Q9UKV8
P00519	P55211
P01106	Q92499
O75461	P12004
P04626	P16885
P11171	Q99623
P26717	P30511
P49840	Q01974
P61224	Q9UKW4
P17844	Q9BWF3
P32121	Q9Y2T4
O60262	P27361
Q05209	Q07890
P54646	Q9C0K7
P14672	P61026
O14641	O15169
P62266	P62857
Q9NX58	Q9NZI8
P62136	Q86XI6
P00533	Q00722
Q08334	Q86WN2
P15882	Q9H4E5
P06702	P49407
Q9BPX5	Q9UPY6
Q13503	Q9NWA0
P52788	Q13387
P02749	P98164
P00450	P02647
P63098	Q9UJX5
P05112	Q99062
O75154	Q02241
P56945	Q13683
O94916	P48065
P61353	P83881
P61626	Q8NEV4
P54725	Q01844
P00533	P52735
P53803	Q9Y535
O43240	Q5UIP0
P22694	P30307
P01106	P43378
P50990	Q04206
406933	P45985
P63218	Q9UBY5
P15531	P27695
A6NKT7	Q6EEV6
P07550	Q14232
Q13651	Q9ULV8
P23409	Q02535
O00505	P10070
P36897	P62879
P26368	Q92841
P46779	P62906
Q13177	Q9Y2U5
Q08211	Q8IYB3
O96008	Q9P0U1
P13349	P41134
B1A4H9	P19235
P02452	Q9UKX5
P17812	P63104
P16104	Q92993
P31150	Q9NRR5
406982	Q01094
P35914	Q9GZW8
P23760	Q9H2G2
Q9HCK4	Q9Y6N7
P06241	P42681
O75376	Q7L2E3
P61970	Q9UET6
O75015	Q8N149
P36896	Q9HAU4
P46778	P47914
Q13153	Q15796
O14656	Q14204
P16871	P28066
Q07889	Q8IZD9
Q9Y3U8	Q9Y478
P05556	Q14315
O00187	P06681
P13569	P31151
P27986	P45983
P15153	P16333
Q9HAU0	Q9Y496
Q06710	Q12951
P39877	P50148
P23458	P48736
P51668	Q9P0P0
O95996	Q9Y2T1
P22626	Q00005
Q07812	Q99814
P06400	P49716
P15622	Q9BQ66
P46776	P62750
Q09472	Q13105
P13378	P38936
O14593	P04049
P01871	Q01196
P08172	Q9HAV0
O75581	P58335
P01106	P54136
P41220	Q9Y2I6
O95685	P15735
P22090	P63220
P62945	P62987
O15056	P63000
P12314	P17947
O60583	P50750
P46108	P53708
P58876	Q9P0U4
P40189	Q86WN2
P51668	Q13490
P63098	Q13042
P21918	P63092
Q96SN8	Q9Y383
P08575	P19022
Q13501	Q13573
Q02363	Q16666
P01106	Q9BR61
P12931	Q14185
P43405	Q8TF42
O95639	Q9H6E5
P17676	Q9NR97
P01889	P43631
P15927	Q13432
Q14181	Q9GZR7
P35398	Q15648
P40939	Q9Y572
P61956	Q96JQ0
O75477	P18146
P04004	P06756
P49207	Q9HAT8
Q15759	Q9HAV0
P09619	Q13596
O43491	P61981
O94913	Q16630
P46108	Q14185
P63104	Q99832
Q96KK5	Q9UQL6
O75563	P08631
P22626	P51991
P11586	Q16254
P42773	P51693
P33778	Q9UQL6
O14610	P22612
O95997	Q9BS18
P05106	P07948
P46108	P51813
P10321	P43632
O15105	O95625
A4D0S4	P53708
Q9GZX6	Q9HC73
Q86YP4	Q8WXI9
O75581	Q9NPG1
O75363	Q96QB1
P31751	Q13233
Q12834	Q9UKT4
P0CG48	Q15717
P30679	P32238
P62306	P62318
O96007	P32969
P05771	P19634
P17612	Q16720
Q14790	Q16539
406938	P51617
P68036	Q8IZP6
P11142	P25685
Q12933	Q7Z434
P54132	Q10586
P10826	P28702
O00213	Q07954
P33240	Q9UKF6
P06493	Q15717
P20073	P55084
P14618	Q13526
A6NMS3	P38405
P07384	P10415
P32121	P46092
Q92925	Q96GM5
P85298	Q07960
O95872	P62993
P17612	P68431
Q8N456	Q8N5Z5
Q9BRT9	Q9Y248
O75530	Q9Y6K1
P42684	P46109
P78406	Q92621
P11142	Q13233
P60709	Q05655
O96000	P03886
P33778	Q9P0M6
Q15047	Q5RKV6
Q06187	Q14699
O60658	Q01201
P50502	P52735
P32298	P46092
Q15906	Q9H0E9
P07305	Q9UHY7
P62258	Q00994
P35637	P67809
P49286	Q9P2W3
P49959	Q13535
O15164	P10276
Q04206	Q15853
O15121	P22061
O95759	P35222
B1AK53	Q9UKN7
O14939	P62330
P46094	Q9UBD3
P16070	Q13753
O14807	Q15311
P42694	P55854
406910	P03372
P17931	P25445
P46459	Q16445
Q14289	Q15047
P10275	P84022
P06899	P0C5Z0
O95433	P16383
P05060	P05109
P11171	P30084
P62487	Q6PD62
P06702	P60953
P15336	P53779
P49411	Q13573
P08579	P63162
P49321	Q9Y4K3
Q13509	Q92974
Q9NR31	Q9Y4K3
Q92833	Q9H9B1
O95299	P03905
P08138	P21781
O43809	Q9BPX1
P15036	P51692
O15230	Q7L0J3
P40933	Q9HC73
O76027	Q9HCE6
Q9HCS4	Q9P1Z2
Q04771	Q13485
O60814	Q9UPS6
P22392	P61626
P10398	P27361
P23276	P51811
O75038	Q13557
O75400	Q70Z53
P62424	Q9UL18
P62258	Q9UI47
Q3ZCQ8	Q99623
O43143	Q8N5F7
O00268	Q9Y4A5
Q13418	Q9UHX1
P26368	Q9UHR5
P45984	P63000
P23396	P62249
O43290	Q8IWX8
O75030	Q9UJU2
P06400	P50750
P16520	P35626
P08670	P37840
P49736	Q9Y5N6
O14775	Q15147
P31947	P45983
O43497	Q14654
P00568	Q14192
P80188	Q8WUG5
P05413	P53350
P04183	Q14919
P62081	P62847
P50539	Q14164
O75159	P23458
P62195	Q00653
P26367	Q96PU8
P08631	P56945
P49841	Q13224
P24043	P55268
O60895	P84996
P46092	Q9Y258
O15519	P49411
P61244	P62136
P00519	Q9Y6W5
A0JLT2	P60842
P45983	P46734
P05412	P28562
P62826	Q9UI26
O75694	P35658
P60953	Q13576
O15264	P61244
O15264	P50990
P04070	Q9UNN8
P09429	Q08117
Q99683	Q9Y3F4
O95750	P17948
O95201	Q16543
9757	Q13315
P01106	Q7Z5R6
P34931	Q8TDR0
P01148	Q13554
406920	P54253
P52735	Q9NV56
P19525	Q08211
Q01094	Q16654
P48443	Q96RI1
P54646	Q9Y478
O14641	Q13145
P11142	Q13501
Q14126	Q92542
P27986	Q14008
O60739	P16152
O94972	Q9H5Z6
P31431	Q8IZC6
P11171	Q01469
P06400	Q00987
P15170	Q13310
P11137	Q9P0L2
O60603	P08107
O95299	Q86Y39
P15927	P78527
Q13315	Q9Y383
O60641	Q9GZR1
P28908	P41182
Q99677	Q9UBI6
Q13772	Q9UBS8
Q8IWZ8	Q9BUJ2
P32969	P98095
P50570	Q05193
O00305	P62140
O00231	Q14194
Q9H9T3	Q9HCE7
P05771	P62879
Q8WYB5	Q8WYH8
P06703	Q9HB71
O14920	P10145
P39748	Q09472
P56545	Q03112
Q99689	Q9Y6M9
O75019	P08637
P16333	P51398
O95644	P51817
P01135	P41235
P29353	Q9BPY3
Q14244	Q99459
P42772	Q00534
O00329	P08069
P63165	Q99856
Q06187	Q9Y6K9
O75340	P63104
P62244	Q16543
P62736	Q07890
P00519	Q92558
P22694	Q14957
Q5JQF8	Q9H074
P48643	Q13573
O95630	Q9NRV9
P0CG47	P62987
Q5UIP0	Q9NZL4
A6NIT4	P16471
O60262	P08173
P23508	Q9Y3B8
Q13291	Q99704
Q0D2J5	Q8N8B7
P14868	P62993
O15031	P60763
O95197	O95872
P46939	Q13884
Q13432	Q15486
P17568	P56556
P49759	P84103
P98160	Q969H0
P16234	Q9GZV9
P61601	Q86UW9
P46108	Q9HCU4
O00716	P12004
P14923	Q9H4K1
P41220	P50148
Q96A32	Q9H1R3
P01889	Q07444
P19875	P27487
P01574	P16471
O15524	P42702
O14656	Q9UBM7
P35241	Q92574
P67870	Q92769
P04637	P21953
P20930	Q8IY92
P30511	P43632
O14656	Q9BT78
P11234	Q00535
Q13625	Q8NHQ8
P43364	Q96DC9
P56537	Q9Y6K5
P18146	Q5BJF2
P29323	P52799
O95049	P56750
P08138	P78536
P31947	Q14966
P81605	Q9NWA0
O95299	P03897
P35637	Q01130
P26373	Q13418
P29372	Q9UPN3
Q14247	Q9H8Y5
Q04206	Q9NR30
Q9NRF9	Q9NS73
Q93062	Q9NQ87
O00459	Q9Y243
P30559	Q9UBU3
P48051	P62879
O14717	Q5UIP0
P53803	Q6PD62
P08311	Q96RI0
Q2TAZ0	Q9BTY7
Q13526	Q9UMN6
O43524	P54646
Q06587	Q13642
P36873	Q01449
O60832	P43307
P06493	Q6PGQ7
Q99879	Q9P0M6
P00505	P11171
Q969H0	Q96RU2
P98170	Q96B02
Q16658	Q9GZN1
P51817	Q08499
P0C1H6	Q9UQL6
P62424	Q07020
P60520	Q14204
P02741	P17676
P49674	Q9Y2G4
P61158	Q07889
Q15834	Q9Y247
P52333	Q9Y4H2
O15524	P42226
P48736	P60953
P39023	P49207
P0C0S5	Q9GZN1
P51948	Q5RL73
406957	Q13315
P0C0S5	P56524
P01133	P21802
P15018	Q99650
P10276	Q16236
Q07011	Q13077
Q13315	Q9BQ15
O60383	P62310
Q13503	Q92731
P63165	Q02078
P01106	Q15678
Q15172	Q7Z3S7
O95741	Q9UHA4
P18583	Q15654
P04183	Q15047
P01023	Q92890
P05107	P13598
P21673	Q9Y3C7
P30556	Q05516
P53779	Q96J02
P04626	P46940
O14512	P26992
P14921	P50613
O60583	P06400
P23760	P50222
O00750	P62993
P02778	Q6V1X1
P45983	P63000
P01574	Q09472
P62745	Q9BRR9
Q15029	Q9Y478
Q16816	Q8TD86
P06748	P11387
Q96C03	Q9UMX0
P40763	P41221
P04629	P42338
Q13547	Q93077
O75676	P67870
O15105	P84022
P84101	Q9BQY4
Q06187	Q9H204
Q04941	Q9Y2H0
Q16666	Q86WV6
P04792	Q96ID5
P78396	Q15717
O60885	P50750
O00716	P28749
O14593	Q14203
P10145	P35222
P05067	P62993
P23246	Q9UHD2
P07355	P18206
O15198	Q92610
Q16566	Q8TD86
P20340	Q13315
P30939	Q9UK08
P10721	Q7Z698
P22732	P31749
P36873	Q96A00
Q13489	Q9UER7
P51587	Q08050
Q5JY77	Q9BTY7
P25942	P52333
P15248	Q14626
Q13547	Q9UJW3
P04745	P23528
P32121	P63151
P35222	Q15233
P30480	P54136
P12931	P27986
Q5SW24	Q92997
P60709	Q9UBQ5
P15153	Q9UNA1
406955	Q8WYQ5
O00574	P25098
Q13158	Q9NPH3
P62891	P62987
P46779	P62917
P12931	P30530
O15516	P10276
Q13315	Q9UIM3
P08138	Q99523
O95400	Q9UHX1
Q00341	Q07889
P02768	P49619
O95751	O95990
P20671	P56524
Q9Y228	Q9Y3A3
P60660	P60709
Q86YM7	Q9NSB8
Q01433	Q13535
Q09013	Q6P1J6
P42701	Q8WXH5
P31785	Q8WYR1
P18146	Q17RP2
P49815	Q13164
P00519	Q9Y5Y3
O94817	Q9HCM4
P00533	Q9P212
P31994	P46108
P01106	Q14186
P21246	Q9NZM3
P31751	Q92945
O94854	P02647
P39023	Q92597
Q04206	Q8WXE9
P10275	P19838
Q86XK2	Q9BUP0
Q08493	Q13554
P15153	P52564
Q12933	Q8TAI7
Q08211	Q13247
P29353	P63104
P06733	P60709
O15479	Q9H7X7
P08238	P10275
P01100	P53778
P28482	Q06546
Q15172	Q562F6
Q08174	Q6VMQ6
P33991	P78396
P22301	P26992
P18084	Q9UQP3
O75800	Q9BYM8
P29992	P46663
P22612	P36507
Q8N122	Q8TB45
P30481	P61769
O43147	Q12873
P78318	Q9UJV3
Q15003	Q99459
P62070	Q07890
P11171	Q9UI30
O75688	Q9Y6K9
P10275	Q9BQG0
P23511	P30304
Q6STE5	Q969G3
P54619	Q05469
P18084	P24821
P04181	P62330
Q96HS1	Q9HCK5
P38936	Q00653
P45880	P60709
O75676	P05114
P07900	P60709
P48736	Q9NPH3
P05113	Q14627
P01106	Q96JB3
O43374	Q07890
P28482	Q9H8Y8
O43306	Q16566
O96019	Q01844
Q15287	Q9UL63
P53708	P56199
P49736	Q92794
P01574	P38398
Q07889	Q7L0Q8
Q86WV6	Q92990
P57059	Q13315
O00154	P01106
Q92793	Q96JK9
Q15672	Q96HZ4
Q8ND90	Q9UL42
P06730	P62753
Q02539	Q15022
P21281	Q9Y6Q1
P38936	Q9HB58
407010	P48061
A6NCV1	P32121
P46782	P62854
P29459	Q5VWK5
P26368	P84103
P42126	Q14197
Q2I0M4	Q8TDR0
P19105	Q14164
P42331	P52198
P01106	P62877
P07199	Q5VTD9
A6NIT4	Q01113
Q9BSL1	Q9UKX2
407026	P08123
P11802	P51693
P26641	Q9H4M7
Q68CP9	Q92925
Q13586	Q9P246
P08047	P41221
P07948	P40259
Q01449	Q86YV6
P09874	P63165
P35638	P49715
Q16236	Q9ULX9
P46937	Q9HCS4
P0CG48	Q13155
P17947	Q99062
Q96T88	Q9UBC3
Q14197	Q99623
Q01844	Q96MA1
P26441	Q99650
Q15185	Q9HCK5
O00175	O00574
O14730	P43686
Q9Y3D3	Q9Y5J5
P35080	P68104
P06239	Q13191
O75554	Q14527
Q05519	Q13247
P01031	P06681
O95750	P09619
P35626	Q8NH43
P07237	Q9H1Y0
P39023	P61978
O75643	P55769
Q02878	Q9UNX3
P84022	Q9NS56
P21246	Q96NT1
O14920	P62158
P17021	Q9GZM8
Q08945	Q16778
P84243	Q86U86
P20962	Q7L5D6
P21333	Q13555
O43298	Q8TAP4
P49750	Q8TDY2
P24941	Q8WXI2
O75746	Q9BUV8
P12110	P31431
P15374	Q9Y328
P41221	Q92765
Q8WUM4	Q99963
P53778	Q9Y2T4
Q9UDY2	Q9Y2J2
P43364	Q9UNH6
Q13535	Q9Y6Q9
Q01201	Q13489
P35637	Q08170
P14138	P25101
A8MTJ3	P54750
Q15303	Q16611
P42574	Q9H3D4
407011	Q9UI32
P30480	P62330
P43250	P51677
P28482	Q9NYJ8
P35916	Q9NSA1
Q96QU1	Q9Y6N9
O43318	Q6NUN9
P40145	P63092
Q13330	Q86YP4
P08047	P14859
P11142	P49642
P24844	Q9H1R3
P00519	P42167
Q5M7Z0	Q5VVX9
O00574	P09341
P00533	P51813
O60674	P01566
P23497	P63279
P31946	Q9P244
Q9NY47	Q9Y2T4
O43524	P35222
Q7L5N1	Q9BWC9
O00329	P14672
Q8IYL3	Q92993
Q9H4L4	Q9Y4W2
P60866	Q9Y6K9
P60520	Q8N1C3
P52747	Q9Y333
Q13242	Q96SB4
P46934	Q9Y3C5
O43242	Q9UNM6
P01116	Q9NRA0
Q06830	Q16186
P61073	P78423
O43294	Q9BUZ4
O95049	P56747
O75815	P07355
P61088	Q12986
P13805	Q8IUR7
P35498	P62879
P50150	Q13698
P17931	Q14624
Q6STE5	Q86U86
P30443	Q14954
P01588	P14784
406886	P01112
P61956	Q92934
O43157	Q04912
Q92769	Q99459
P42336	P50151
P30559	Q9NY47
P67870	Q8N205
P41235	Q15466
O94817	Q9HC36
P13807	Q9UGI9
P08514	P60709
O75525	Q8TBB1
P50990	Q66LE6
O43597	P52943
O00273	Q8WZ42
P42229	Q13287
Q13535	Q86TP1
O95471	Q9BQY4
P59998	Q9BPX5
O43914	P43628
Q9GZT3	Q9Y4K3
406983	Q96RT1
P31689	Q99558
O60260	P0DJD1
P63244	Q9Y6R4
P78362	Q8WVK2
P05112	P23771
Q13163	Q9Y5S2
P12956	P62070
P01571	Q13651
O14920	Q02790
P04350	Q99759
P02751	P04085
O14980	Q9HCE7
O43318	Q9NWZ3
P49674	Q9GZV5
P42261	P49841
P01106	Q13576
O95467	P41220
P06400	Q9BY41
P04637	Q9BUJ2
P01111	Q7LDG7
O75821	Q13573
Q04206	Q9Y230
P51991	Q15287
O60894	P84996
Q9NPD3	Q9UHL9
O43561	Q9UQC2
P49674	Q14469
P08754	P28482
P17252	P67775
P16144	Q9Y6N6
Q9BRK4	Q9P0T4
P35225	Q9HBE5
O43187	Q15796
P61956	Q14061
Q07817	Q92934
P61247	P62633
P54257	Q9NQZ2
O15198	Q8N5G2
Q5T4F7	Q9ULW2
Q6P0Q8	Q92616
P48736	P60763
Q8IZI9	Q99650
P08151	Q9UMX1
P29350	Q8WV28
O75581	Q14696
Q8TBE0	Q92997
O15392	Q01094
O95551	P25942
O75367	P62807
P01100	Q07890
O00303	P60228
P06239	P78314
P61952	Q9Y272
Q15172	Q8IZS8
P09471	Q01668
O95793	P11940
P05387	Q92901
P10644	Q05469
P41970	Q02363
P18615	Q15836
P01106	Q9Y5M8
P07332	P52333
P31946	Q86X29
Q96JH8	Q9GZS1
Q14397	Q9NR80
O95169	P51970
O95907	P62820
P01106	P60228
Q01780	Q5JPE7
P17066	Q99836
O60832	P26641
P04075	Q12857
P18621	P62945
O95622	P23219
P49715	Q14686
P12931	P31273
Q12873	Q9NS87
O95487	Q9NQW1
P68032	Q9Y5U8
O15264	P17676
Q15029	Q15427
P52333	Q13261
P67870	Q8IY92
P49454	Q13535
O95619	Q9H0E9
P40429	P47914
P49238	Q07325
O14775	P08172
P23508	Q00688
O14920	Q14790
P04141	Q01113
P62310	P67809
O95872	Q9H0R3
Q13326	Q16586
P08588	P84996
P49674	Q7L7X3
P19438	P42574
P68104	Q9UL18
P08729	P62316
Q8NFH5	Q9BW27
P05787	Q9UKW4
O43707	P15313
P21333	Q9H9G7
P00374	Q9UJX2
P05091	Q96ID5
P62256	Q9C040
P04150	P40424
P23458	Q9NSE2
P10275	Q12770
Q07889	Q9Y5S8
P39687	P46821
CDKR1	Q16620
P21554	P50151
P07333	Q9HCT0
O43929	Q7L590
P06753	Q9Y2R2
P05112	P18146
O60674	PB_10
O75197	Q9Y6F9
Q13363	Q14526
P06241	P10721
Q13243	Q13247
P61981	Q92974
Q96Q15	Q9Y2T4
O95467	Q01726
Q07699	Q9UQM7
Q15024	Q92551
P51955	Q96PX6
P01574	P14316
P55157	Q9UK85
P38405	Q6IF82
P54105	Q86UQ8
O60739	P30084
Q13315	Q14966
Q9BVW5	Q9Y248
Q7L7L0	Q93079
P52565	Q99643
P35225	Q8IU57
P62195	Q8TCT6
Q13114	Q9Y6Q6
O60739	P62280
P01833	P42830
Q8N7H5	Q92541
Q2NL82	Q96BK5
P39656	P62330
P18124	Q02543
Q96QK8	Q9Y4Z0
Q8TAK5	Q9NWT6
P15260	Q9UBD9
P62424	P83731
P04049	P42338
P12004	P18669
O00165	Q99759
O75593	Q14919
Q6P1J9	Q6UN15
P05067	Q92542
O43809	Q9NV58
P00742	Q9Y478
406906	Q92843
P12931	P40763
Q07955	Q9BUJ2
P08581	Q07889
P62745	Q9H7D0
O14920	P62136
Q01780	Q7L2H7
O95405	Q13485
P05023	Q13976
O14543	P40763
P55211	P98170
P51817	Q02750
Q8WUW1	Q9Y3A3
P18065	P35222
O95865	Q9H5J8
P18564	Q13797
P45973	Q02539
O60260	Q15388
P08708	P62081
P11215	P42338
P38398	Q8WX92
P16871	P55072
P60842	Q14240
O60684	Q9Y232
P05166	Q14197
Q92574	Q9P0N9
P22681	Q13261
O00574	Q9H2A7
O00743	O43318
Q92730	Q9ULL4
P55916	P61981
P83916	Q5UIP0
P43246	P61244
Q96B97	Q9ULH1
P56182	P68104
P54259	Q04724
P04637	P78527
O94822	Q86WV6
P18146	P36402
P19438	P60660
P46934	Q99717
P25788	Q00653
P07948	Q9UQC2
P08134	Q96QB1
Q06330	Q13642
P84243	Q86WJ1
P14784	P31785
P62195	Q9UKF6
O15230	Q9BSF8
Q96C10	Q9UPY3
Q8WUM4	Q9Y5K6
P63000	Q12933
P15882	Q07889
P29374	Q92769
P49327	Q13233
P31942	Q92993
A6NMS3	P32121
P67809	Q9HCK5
Q12873	Q9UII2
P04637	P27361
406906	P30825
P52735	Q8ND90
O60381	Q01844
P08865	P46782
P01570	Q8N6P7
Q13547	Q8N5A5
O15264	P12956
O75578	P21333
P23396	Q13573
Q9UDY8	Q9Y4K3
P19793	Q9H0E9
P61244	Q9NUQ3
P06401	P45983
O15550	Q8NEZ4
O75369	P13612
P0CG47	P19438
Q66LE6	Q9Y698
O95295	Q15796
P84022	Q09472
Q15149	Q6WCQ1
P78362	Q9UKV3
P28715	P84098
P62993	Q16539
P14778	Q9Y4K3
P62913	P84098
P09496	Q9Y6A5
P22626	P60709
P51617	Q15750
O60508	P52756
P10721	P48736
P46779	P47914
P32242	Q93062
P52630	Q13547
P62316	Q92993
P16220	Q96RG2
P84098	Q92901
P26639	Q9Y478
O14920	P14778
O60506	Q00839
P49746	Q05397
O75594	P17066
O75376	P35609
O94762	Q92878
P18847	Q9BZD4
P56597	Q04206
P61964	Q99879
P04637	P31350
P14866	Q13243
P07766	P09693
P04049	Q9NVR2
Q04759	Q96B18
Q13085	Q9Y478
P35968	P52803
P62277	P62847
P42338	P49418
P35240	Q12967
Q9UJX2	Q9UJX6
P62701	P62753
Q86YW9	Q99459
P08246	P22557
P48736	P61224
P02775	P17947
P10071	Q9UMX1
P52298	Q14164
P13073	Q9HC24
P61353	Q07020
O60739	Q9NX55
P41597	Q9UBD3
2310	Q96EB6
O14576	Q9BQE3
O75030	P01100
P51825	Q03111
O00411	Q9H5Q4
P25205	Q09472
Q04206	Q3ZCQ8
P0C0S5	Q06587
Q15811	Q99962
P15311	P40337
P50616	P52597
O60573	Q7L576
P46531	Q5TA89
Q13469	Q96LZ3
Q15047	Q9H4M7
Q96RT7	Q9BQE3
P22301	P25105
P15036	P18146
Q04917	Q9UK53
P13501	P51677
P02647	P10909
Q8WZA2	Q9ULF5
Q16619	Q5VWK5
P08865	P62753
P51587	Q8NEM0
Q13287	Q8N4P3
P78508	Q14005
P55157	Q9BX66
P62993	Q8WWI1
P38936	P62820
O60683	P28328
P62834	Q9UKW4
P02776	P51684
P17612	P19429
Q8NEM0	Q8TAQ2
P40225	Q14626
P05129	Q8TEY5
Q13573	Q9UQ35
O60381	O95967
P61981	Q5VTL8
Q15287	Q6P2Q9
Q93062	Q96SI9
P04899	P53778
O00175	P49682
O75306	P19404
P0C5Y9	Q9Y5B9
Q13422	Q96CW1
Q8TAD8	Q92793
P08754	Q08462
P01106	P16220
O43318	Q9BVA1
P08047	Q9Y5K6
Q16514	Q96BN2
O94806	Q8TAA9
P78406	Q9GZY0
P26992	P40225
Q14192	Q9UBR4
P20248	P28749
P05013	P32927
P21796	Q9Y2Q3
O60762	Q9Y5V3
P17612	Q9UGI9
P01111	P05129
P02751	P11912
O95168	Q86Y39
P52758	Q9UET6
P19838	P32519
P63151	Q15759
P01344	Q9UNN5
P17676	Q86X55
P49959	Q9H816
Q9NPJ6	Q9NWA0
Q96FJ2	Q96LC9
P13232	P23458
P48742	Q9UBR4
O14827	O95433
Q8WW43	Q92542
O95163	Q15306
P38936	Q8IYF3
P32121	Q96JQ0
P05387	P83731
Q15633	Q96PK6
P43403	Q8NET5
P21796	P49662
P10276	Q13133
P45983	Q07820
P07437	Q99836
P19429	Q15173
P26373	P50914
P63208	Q49AN0
P04626	P07585
O95163	Q13085
P06241	Q05397
P01566	P19235
P21246	Q9UGL9
O00231	P62195
P63279	Q13569
P54259	Q96PV6
P62993	Q07912
P26951	Q16619
P40933	Q14626
P01106	Q9BZQ8
O60861	Q96IG2
Q8WV28	Q92918
P17987	Q13233
P16104	P20290
O95067	P61981
P04637	P22736
P16885	Q8WV28
Q99623	Q9UL18
P51003	Q05519
O14543	Q9Y4H2
O43379	P45984
Q13573	Q96EK9
O95819	Q16778
P01889	P51148
P05771	P30153
P00519	Q13177
O43147	Q9HCC8
P35998	P62191
P05455	P40337
P48995	P62993
P62136	Q13454
P16949	P52594
Q96F07	Q9NYB9
P16104	Q96BD6
P39019	P62753
P26599	P31943
P07225	P08047
P09619	Q13442
P32969	P83731
O15269	Q9BUV8
P14317	P43405
P40933	Q08334
P27482	P48454
Q06265	Q9NPD3
P63096	Q9HAV0
Q12873	Q9UBB5
P01111	P12270
Q07866	Q9UPT6
P01579	P28482
Q99459	Q9BSJ2
P61927	Q02543
P54274	Q8WVM7
P62273	P62979
Q02930	Q9UQM7
P11387	P23246
Q13352	Q8TC92
O95989	Q15041
P32248	P49407
P25445	Q14194
P35579	Q9BZW7
O60674	P49238
P19419	Q16539
O95819	P62910
P47914	P83881
P56199	Q9UKX5
O60907	P35222
Q5VVX9	Q9Y3C5
P01236	P14784
P43694	Q8WW38
Q15645	Q9BSH5
P35222	Q04206
P01833	P10145
P07602	P63104
P08621	P17931
P09919	P17947
P14373	Q96B02
P29590	P40763
O43847	P01106
O60729	Q8IXJ6
P57078	Q12933
P30304	Q96PV7
P01106	P16930
P49842	P78395
P06756	Q9UQP3
P08700	Q9HC73
P24385	P36402
P62316	Q9Y333
Q13115	Q16659
O14965	Q9Y6K9
O14786	O15041
P12931	Q9H9L3
Q13554	Q14643
P60763	Q15311
P12980	Q6ZUT1
P62316	P62993
P01876	P35527
O43187	O95817
P21583	P22455
O60739	P27695
O95819	P31689
Q16539	Q8WZA2
P01562	Q6UXL0
Q16531	Q58WW2
P09651	P63104
Q8IU57	Q9NPH9
406951	P03372
P22460	Q13424
P40424	P42772
P30304	Q9UPP1
P51955	Q9BV73
P11047	Q05397
Q00978	Q9Y6K5
Q7Z6L1	Q9H1Y0
P32121	Q96RB7
P07858	Q9NYA1
O00231	Q9Y5K5
O14964	O60784
P61587	Q13464
P03971	Q9H2X0
Q96PM9	Q9Y2X8
O95402	P52434
O43914	P43403
O95999	Q9Y4K3
P49238	P80098
O60921	P15927
Q9NVH1	Q9Y2Q3
P62993	Q9BQ89
O14933	Q8N9I9
Q13310	Q14201
O95433	P51816
O15105	Q9Y3F4
P67812	Q9Y4K3
P31946	Q12802
Q9Y3T9	Q9Y5V3
P27361	Q9UHA4
Q16363	Q5T3J3
O75581	Q9Y4X0
Q9UJY5	Q9Y3C5
P01889	Q15078
P11215	P51617
P62851	P62854
P28074	Q00653
Q93034	Q99619
P09471	P22694
P62310	Q13435
P04899	Q16236
P62993	Q6FI13
P17181	P35225
O14640	Q13618
Q13216	Q9H9Q2
Q15797	Q9H9T3
O95967	P27658
A2RRP1	O95897
O00762	Q99848
Q01844	Q99459
Q15370	Q99619
P17081	Q9UPT5
O75369	P63000
O00303	O75822
P46736	Q6UWZ7
P38405	Q8NGI3
O00214	P20701
O15055	P62877
O60814	Q969S8
P04085	P07333
P23588	Q13557
P22301	P78552
P31943	Q99459
O95831	Q04206
O95989	Q8IWV7
P15880	P60866
Q13315	Q92794
O60934	Q99708
A1KXE4	Q9UGN5
Q13480	Q9H706
P27482	P29474
O95232	Q13315
Q9NY46	Q9UKL0
P26651	Q96B26
406991	P30304
P51970	Q9P0J0
Q99459	Q9P013
P42701	Q9HBE4
P51817	Q15759
P01009	P10114
P05015	P48357
P31689	Q99759
Q13077	Q8IUC6
P01127	P04626
P26951	P29350
P05362	P61586
Q12959	Q96KB5
P20042	P67870
P01116	P48736
O00442	P18077
P00533	Q9Y264
P04899	P68366
P01584	P35228
P01781	P01857
P62993	Q92988
O75475	P30041
Q71F56	Q9NX70
P62955	Q13557
P11274	P22681
P62993	Q13322
Q8N474	Q9ULV1
P17693	Q8N743
P11171	Q15691
O60716	P08581
P49207	Q02543
P08107	P08729
O15400	P51809
O94761	Q8IWV8
P15735	Q8TD86
P22392	P35398
P18077	P84098
Q08554	Q8IY92
O75508	P78369
Q9NS56	Q9Y2X8
P08754	Q13255
Q9BPW8	Q9HA65
P59998	Q9UPY6
P10636	Q00535
Q04695	Q15834
P22612	P63027
P61978	Q86X55
406913	O00459
P05231	P08887
P48556	P62333
P31946	P62258
Q16576	Q9UKG1
P01100	P01112
Q8N474	Q93097
P05997	P18564
P48169	Q15111
P20073	Q99832
P01308	P42336
P08729	Q9UKW4
